# Chain:	[2338.06, 1170.4, 690.146, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	4.967267376322204432e-26
1.282321608040200999e+03	3.540351274139191287e-27
1.357693467336683398e+03	1.040686433732734015e-26
1.433065326633165796e+03	3.068748837579078849e-32
1.508437185929648194e+03	8.631953095264986016e-30
1.583809045226130593e+03	8.413880156667878130e-26
1.659180904522612991e+03	1.660267911998396325e-28
1.734552763819095389e+03	2.270944518276398430e-29
1.809924623115578015e+03	4.312026793478300106e-28
1.885296482412060413e+03	5.393772902402020856e-29
1.960668341708542812e+03	5.903932775692385965e-31
2.036040201005025210e+03	8.199992038822242212e-31
2.111412060301507609e+03	7.113868560074220248e-30
2.186783919597990007e+03	5.344343301332432800e-29
2.262155778894472405e+03	4.896965895275162609e-30
2.337527638190954804e+03	1.004536541176100849e-29
2.412899497487437202e+03	9.012495973627096897e-31
2.488271356783919600e+03	1.126793024681750706e-29
2.563643216080401999e+03	5.780615229191667742e-31
2.639015075376884397e+03	9.506549298567910051e-32
2.714386934673366795e+03	5.187214759674811571e-32
2.789758793969849194e+03	9.596652083239613245e-32
2.865130653266331592e+03	2.850688448923601222e-32
2.940502512562813990e+03	3.097888385327718722e-32
3.015874371859296389e+03	1.360304201457383664e-31
3.091246231155778787e+03	2.618337955881363197e-30
3.166618090452261185e+03	6.940583254974377580e-31
3.241989949748743584e+03	6.874147720764233984e-32
3.317361809045225982e+03	3.402535787792505756e-32
3.392733668341708380e+03	3.167695820337970521e-32
3.468105527638190779e+03	3.563846706410084387e-32
3.543477386934673177e+03	5.621514590759277553e-32
3.618849246231156030e+03	8.555750944809606289e-32
3.694221105527638429e+03	2.182065866020266905e-31
3.769592964824120827e+03	3.987069416320798891e-29
3.844964824120603225e+03	3.234257705835021988e-31
3.920336683417085624e+03	7.915884737184759678e-32
3.995708542713568022e+03	3.705290064906105545e-32
4.071080402010050420e+03	2.261736983312516558e-32
4.146452261306532819e+03	1.022120330636111631e-32
4.221824120603015217e+03	2.061057366098235101e-32
4.297195979899497615e+03	1.523197757307958333e-32
4.372567839195980014e+03	1.396777133834070670e-32
4.447939698492462412e+03	2.023073828648871343e-32
4.523311557788944810e+03	1.491909773193757362e-32
4.598683417085427209e+03	5.232320891515291370e-32
4.674055276381909607e+03	3.991125678758253259e-31
4.749427135678392006e+03	1.180709449741279454e-29
4.824798994974874404e+03	3.512152834890337313e-31
4.900170854271356802e+03	5.038622633104744628e-32
4.975542713567839201e+03	1.761110022914351860e-32
5.050914572864321599e+03	8.437099080462402036e-33
5.126286432160803997e+03	4.586096317990240024e-33
5.201658291457286396e+03	3.108960458962595682e-33
5.277030150753768794e+03	1.901217574115816099e-33
5.352402010050251192e+03	1.227774490913280851e-33
