# Chain:	[3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	4.949991080535878951e-26
1.282321608040200999e+03	3.528037832730525308e-27
1.357693467336683398e+03	1.037066897016090839e-26
1.433065326633165796e+03	3.058075642722551015e-32
1.508437185929648194e+03	8.601930919370382048e-30
1.583809045226130593e+03	8.409653561412871025e-26
1.659180904522612991e+03	1.660025620172347569e-28
1.734552763819095389e+03	2.270854806512795826e-29
1.809924623115578015e+03	4.312025036246556003e-28
1.885296482412060413e+03	5.393771259278621894e-29
1.960668341708542812e+03	5.903729652800625245e-31
2.036040201005025210e+03	8.199526599045383622e-31
2.111412060301507609e+03	7.113800060331731512e-30
2.186783919597990007e+03	5.344332099691335109e-29
2.262155778894472405e+03	4.896795590645037643e-30
2.337527638190954804e+03	1.004510233155908495e-29
2.412899497487437202e+03	9.003083625700308125e-31
2.488271356783919600e+03	1.122927096024035414e-29
2.563643216080401999e+03	5.762301810558040720e-31
2.639015075376884397e+03	9.478271848903767588e-32
2.714386934673366795e+03	5.172074433211326931e-32
2.789758793969849194e+03	9.564109444904859231e-32
2.865130653266331592e+03	2.842153313447354814e-32
2.940502512562813990e+03	3.089506568685712160e-32
3.015874371859296389e+03	1.355782552126523275e-31
3.091246231155778787e+03	2.609268393446197071e-30
3.166618090452261185e+03	6.916804779699801098e-31
3.241989949748743584e+03	6.855416238044905290e-32
3.317361809045225982e+03	3.397078161706357995e-32
3.392733668341708380e+03	3.165190810872216029e-32
3.468105527638190779e+03	3.562501831395209685e-32
3.543477386934673177e+03	5.620782201657717861e-32
3.618849246231156030e+03	8.555302565465618165e-32
3.694221105527638429e+03	2.182033308546796305e-31
3.769592964824120827e+03	3.987069173183988250e-29
3.844964824120603225e+03	3.234243768552099910e-31
3.920336683417085624e+03	7.915781978812028004e-32
3.995708542713568022e+03	3.705216084148131806e-32
4.071080402010050420e+03	2.261675083587344565e-32
4.146452261306532819e+03	1.022075082503536034e-32
4.221824120603015217e+03	2.061026662241196151e-32
4.297195979899497615e+03	1.523169551617095007e-32
4.372567839195980014e+03	1.396756372701341586e-32
4.447939698492462412e+03	2.023057595049144880e-32
4.523311557788944810e+03	1.491894096673454968e-32
4.598683417085427209e+03	5.232311157233904192e-32
4.674055276381909607e+03	3.991125018605402030e-31
4.749427135678392006e+03	1.180709443191664381e-29
4.824798994974874404e+03	3.512152158471219640e-31
4.900170854271356802e+03	5.038617298476273710e-32
4.975542713567839201e+03	1.761105151779957374e-32
5.050914572864321599e+03	8.437072209850075033e-33
5.126286432160803997e+03	4.586074082805313138e-33
5.201658291457286396e+03	3.108936579863997657e-33
5.277030150753768794e+03	1.901203320497865972e-33
