# Chain:	[4629.8, 3603.06, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 571.1538, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	3.735280953302136405e-26
1.282321608040200999e+03	2.662269952555353615e-27
1.357693467336683398e+03	7.825743854279806530e-27
1.433065326633165796e+03	2.307634805027187328e-32
1.508437185929648194e+03	6.491047802305632781e-30
1.583809045226130593e+03	6.980541373462233807e-26
1.659180904522612991e+03	1.392878674879621004e-28
1.734552763819095389e+03	1.911513138290190216e-29
1.809924623115578015e+03	3.633945404385903449e-28
1.885296482412060413e+03	4.545597614750596807e-29
1.960668341708542812e+03	4.970279767487361357e-31
2.036040201005025210e+03	6.898453465542237403e-31
2.111412060301507609e+03	5.993475484778831760e-30
2.186783919597990007e+03	4.503690985108479438e-29
2.262155778894472405e+03	4.122507833608910723e-30
2.337527638190954804e+03	8.458936683745035662e-30
2.412899497487437202e+03	7.349678669513312109e-31
2.488271356783919600e+03	8.487103888615752022e-30
2.563643216080401999e+03	4.393666278743333660e-31
2.639015075376884397e+03	7.273658105351964725e-32
2.714386934673366795e+03	3.976392922381506972e-32
2.789758793969849194e+03	7.238269552952662674e-32
2.865130653266331592e+03	2.179667158369824649e-32
2.940502512562813990e+03	2.391998353650834785e-32
3.015874371859296389e+03	1.028388994680293773e-31
3.091246231155778787e+03	1.969903346132062106e-30
3.166618090452261185e+03	5.228597186490275230e-31
3.241989949748743584e+03	5.304336910688625549e-32
3.317361809045225982e+03	2.725064790318197439e-32
3.392733668341708380e+03	2.604216339340723991e-32
3.468105527638190779e+03	2.968355341544753504e-32
3.543477386934673177e+03	4.718455749416915927e-32
3.618849246231156030e+03	7.198717100362765796e-32
3.694221105527638429e+03	1.838101773865720685e-31
3.769592964824120827e+03	3.360124780612724865e-29
3.844964824120603225e+03	2.725329930551924502e-31
3.920336683417085624e+03	6.668486160551435133e-32
3.995708542713568022e+03	3.120728642176512995e-32
4.071080402010050420e+03	1.904479329203933716e-32
4.146452261306532819e+03	8.602181867547659077e-33
4.221824120603015217e+03	1.736169379549264566e-32
4.297195979899497615e+03	1.282949569537391249e-32
4.372567839195980014e+03	1.176601995636888613e-32
4.447939698492462412e+03	1.704536163166660626e-32
4.523311557788944810e+03	1.256908415155395503e-32
4.598683417085427209e+03	4.409321600710276190e-32
4.674055276381909607e+03	3.363532340346775796e-31
4.749427135678392006e+03	9.950511209348761231e-30
4.824798994974874404e+03	2.959874142768896296e-31
4.900170854271356802e+03	4.246195847775471361e-32
4.975542713567839201e+03	1.484060866869730867e-32
5.050914572864321599e+03	7.109723962027353920e-33
5.126286432160803997e+03	3.864384963064297778e-33
5.201658291457286396e+03	2.619475298211995762e-33
5.277030150753768794e+03	1.601892615809805664e-33
