# Chain:	[4870.0, 4218.4, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	4.947482688810929016e-26
1.282321608040200999e+03	3.526250011144395935e-27
1.357693467336683398e+03	1.036541366771617493e-26
1.433065326633165796e+03	3.056525972932914502e-32
1.508437185929648194e+03	8.597571919124586786e-30
1.583809045226130593e+03	8.409039890710916576e-26
1.659180904522612991e+03	1.659990441172230717e-28
1.734552763819095389e+03	2.270841781021206799e-29
1.809924623115578015e+03	4.312024781109366221e-28
1.885296482412060413e+03	5.393771020709128918e-29
1.960668341708542812e+03	5.903700160843139438e-31
2.036040201005025210e+03	8.199459020595745609e-31
2.111412060301507609e+03	7.113790114670384471e-30
2.186783919597990007e+03	5.344330473295018434e-29
2.262155778894472405e+03	4.896770863658985846e-30
2.337527638190954804e+03	1.004506413423891508e-29
2.412899497487437202e+03	9.001717021658334146e-31
2.488271356783919600e+03	1.122365791472747661e-29
2.563643216080401999e+03	5.759642836185044942e-31
2.639015075376884397e+03	9.474166170139203728e-32
2.714386934673366795e+03	5.169876168601611555e-32
2.789758793969849194e+03	9.559384491956811524e-32
2.865130653266331592e+03	2.840914074233999673e-32
2.940502512562813990e+03	3.088289590245142614e-32
3.015874371859296389e+03	1.355126041731879934e-31
3.091246231155778787e+03	2.607951559349197271e-30
3.166618090452261185e+03	6.913352319094334797e-31
3.241989949748743584e+03	6.852696563825944664e-32
3.317361809045225982e+03	3.396285754336069576e-32
3.392733668341708380e+03	3.164827101828765366e-32
3.468105527638190779e+03	3.562306565384478705e-32
3.543477386934673177e+03	5.620675864119594657e-32
3.618849246231156030e+03	8.555237464065989108e-32
3.694221105527638429e+03	2.182028581439895394e-31
3.769592964824120827e+03	3.987069137882302454e-29
3.844964824120603225e+03	3.234241744960609092e-31
3.920336683417085624e+03	7.915767059048265151e-32
3.995708542713568022e+03	3.705205342683444931e-32
4.071080402010050420e+03	2.261666096200214717e-32
4.146452261306532819e+03	1.022068512805799578e-32
4.221824120603015217e+03	2.061022204265836575e-32
4.297195979899497615e+03	1.523165456357183201e-32
4.372567839195980014e+03	1.396753358336793596e-32
4.447939698492462412e+03	2.023055238049257634e-32
4.523311557788944810e+03	1.491891820557423736e-32
4.598683417085427209e+03	5.232309743887479639e-32
4.674055276381909607e+03	3.991124922756039688e-31
4.749427135678392006e+03	1.180709442240708211e-29
4.824798994974874404e+03	3.512152060260113245e-31
4.900170854271356802e+03	5.038616523927257078e-32
4.975542713567839201e+03	1.761104444526888888e-32
5.050914572864321599e+03	8.437068308433797174e-33
5.126286432160803997e+03	4.586070854419172827e-33
5.201658291457286396e+03	3.108933112793621839e-33
