# Chain:	[4870.0, 4218.4, 3603.06, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.141320944993010283e-25
1.282321608040200999e+03	8.134607533044642654e-27
1.357693467336683398e+03	2.391168290338082844e-26
1.433065326633165796e+03	7.051014285937582974e-32
1.508437185929648194e+03	1.983349821429891929e-29
1.583809045226130593e+03	9.990861039568404773e-26
1.659180904522612991e+03	1.750669181745978506e-28
1.734552763819095389e+03	2.304416787949075765e-29
1.809924623115578015e+03	4.312682432520955208e-28
1.885296482412060413e+03	5.394385966589986908e-29
1.960668341708542812e+03	5.979719762110582378e-31
2.036040201005025210e+03	8.373651825473302467e-31
2.111412060301507609e+03	7.139426432988977897e-30
2.186783919597990007e+03	5.348522734848431008e-29
2.262155778894472405e+03	4.960508091717801354e-30
2.337527638190954804e+03	1.014352301239934582e-29
2.412899497487437202e+03	1.252432803896735912e-30
2.488271356783919600e+03	2.569205941000183786e-29
2.563643216080401999e+03	1.261351720899749081e-30
2.639015075376884397e+03	2.005712129494998303e-31
2.714386934673366795e+03	1.083620737743183750e-31
2.789758793969849194e+03	2.173860451463031589e-31
2.865130653266331592e+03	6.035224622113407431e-32
2.940502512562813990e+03	6.225219916010466818e-32
3.015874371859296389e+03	3.047372426288597179e-31
3.091246231155778787e+03	6.002273656746369854e-30
3.166618090452261185e+03	1.581254725202243033e-30
3.241989949748743584e+03	1.386303318874425555e-31
3.317361809045225982e+03	5.438825397893142972e-32
3.392733668341708380e+03	4.102337488309113234e-32
3.468105527638190779e+03	4.065631727304455559e-32
3.543477386934673177e+03	5.894775582720870232e-32
3.618849246231156030e+03	8.723045329792113017e-32
3.694221105527638429e+03	2.194213353574966073e-31
3.769592964824120827e+03	3.987160132861869716e-29
3.844964824120603225e+03	3.239457832036142721e-31
3.920336683417085624e+03	7.954224814617834189e-32
3.995708542713568022e+03	3.732892954226711159e-32
4.071080402010050420e+03	2.284832330125602668e-32
4.146452261306532819e+03	1.039002817780819452e-32
4.221824120603015217e+03	2.072513252612069238e-32
4.297195979899497615e+03	1.533721555447230923e-32
4.372567839195980014e+03	1.404523300061502388e-32
4.447939698492462412e+03	2.029130731400221839e-32
4.523311557788944810e+03	1.497758824578079097e-32
4.598683417085427209e+03	5.235952839863358652e-32
4.674055276381909607e+03	3.991371987752231906e-31
4.749427135678392006e+03	1.180711893461818800e-29
4.824798994974874404e+03	3.512405212975703718e-31
4.900170854271356802e+03	5.040613031192852806e-32
4.975542713567839201e+03	1.762927487174545635e-32
5.050914572864321599e+03	8.447124748735622367e-33
5.126286432160803997e+03	4.594392466412917966e-33
5.201658291457286396e+03	3.117869966430887911e-33
5.277030150753768794e+03	1.906535727774486074e-33
