# Chain:	[5641.2, 4870.0, 4218.4, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	2.167984740594212676e-30
1.282321608040200999e+03	1.545201205649609883e-31
1.357693467336683398e+03	4.542119715219511076e-31
1.433065326633165796e+03	1.339368338475387599e-36
1.508437185929648194e+03	3.767452237675876059e-34
1.583809045226130593e+03	5.303911284488996161e-31
1.659180904522612991e+03	3.040495417195118967e-34
1.734552763819095389e+03	1.125783773027327807e-35
1.809924623115578015e+03	2.205132195710431549e-36
1.885296482412060413e+03	2.061938797058189213e-37
1.960668341708542812e+03	2.548968455099860646e-37
2.036040201005025210e+03	5.840756296210746949e-37
2.111412060301507609e+03	8.595962831888327738e-37
2.186783919597990007e+03	1.405682518326859648e-36
2.262155778894472405e+03	2.137135436502292326e-36
2.337527638190954804e+03	3.301366626122198148e-36
2.412899497487437202e+03	1.181145943020504375e-35
2.488271356783919600e+03	4.851314449470461586e-34
2.563643216080401999e+03	2.298132229088366442e-35
2.639015075376884397e+03	3.548508322212442090e-36
2.714386934673366795e+03	1.899944128441691593e-36
2.789758793969849194e+03	4.083742499029643494e-36
2.865130653266331592e+03	1.071065447145958010e-36
2.940502512562813990e+03	1.051825622985230404e-36
3.015874371859296389e+03	5.674171635439865547e-36
3.091246231155778787e+03	1.138130141234895929e-34
3.166618090452261185e+03	2.983936613928594430e-35
3.241989949748743584e+03	2.350594664878926375e-36
3.317361809045225982e+03	6.848719320956871174e-37
3.392733668341708380e+03	3.143510833554255403e-37
3.468105527638190779e+03	1.687669941701554708e-37
3.543477386934673177e+03	9.190676149542060476e-38
3.618849246231156030e+03	5.626666663887131460e-38
3.694221105527638429e+03	4.085604145121603741e-38
3.769592964824120827e+03	3.051099040531531553e-38
3.844964824120603225e+03	1.748975421196505452e-38
3.920336683417085624e+03	1.289504340543718489e-38
3.995708542713568022e+03	9.283769875686637953e-39
4.071080402010050420e+03	7.767733389120470917e-39
4.146452261306532819e+03	5.678142014781987616e-39
4.221824120603015217e+03	3.852995709294252787e-39
4.297195979899497615e+03	3.539503383446845435e-39
4.372567839195980014e+03	2.605293374871831923e-39
4.447939698492462412e+03	2.037137875308317054e-39
4.523311557788944810e+03	1.967230546498503668e-39
4.598683417085427209e+03	1.221545044512951735e-39
4.674055276381909607e+03	8.284190802848733891e-40
4.749427135678392006e+03	8.219045065944438540e-40
4.824798994974874404e+03	8.488314534713026322e-40
4.900170854271356802e+03	6.694370866897638803e-40
4.975542713567839201e+03	6.112736877993190110e-40
5.050914572864321599e+03	3.371965739437604618e-40
5.126286432160803997e+03	2.790270682032863423e-40
5.201658291457286396e+03	2.996563732174146393e-40
