# Chain:	[5641.2, 4870.0, 4218.4, 3603.06, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	2.886964415101104500e-29
1.282321608040200999e+03	2.057644046728422983e-30
1.357693467336683398e+03	6.048445702331754754e-30
1.433065326633165796e+03	1.783549791421376691e-35
1.508437185929648194e+03	5.016871356198840596e-33
1.583809045226130593e+03	7.062874038023012115e-30
1.659180904522612991e+03	4.048830192095553071e-33
1.734552763819095389e+03	1.499133103186579329e-34
1.809924623115578015e+03	2.936431267438217454e-35
1.885296482412060413e+03	2.745749922387281434e-36
1.960668341708542812e+03	3.394295673442609287e-36
2.036040201005025210e+03	7.777755658841264151e-36
2.111412060301507609e+03	1.144668518395178129e-35
2.186783919597990007e+03	1.871856075992060935e-35
2.262155778894472405e+03	2.845884401263185463e-35
2.337527638190954804e+03	4.396215431020464953e-35
2.412899497487437202e+03	1.572855307831466545e-34
2.488271356783919600e+03	6.460180240128581879e-33
2.563643216080401999e+03	3.060273369247349831e-34
2.639015075376884397e+03	4.725317969770211648e-35
2.714386934673366795e+03	2.530032147730000912e-35
2.789758793969849194e+03	5.438054546409434038e-35
2.865130653266331592e+03	1.426268263911869722e-35
2.940502512562813990e+03	1.400647840176968857e-35
3.015874371859296389e+03	7.555925689864911277e-35
3.091246231155778787e+03	1.515573959528222823e-33
3.166618090452261185e+03	3.973514508671320054e-34
3.241989949748743584e+03	3.130134186263691083e-35
3.317361809045225982e+03	9.119994526898131271e-36
3.392733668341708380e+03	4.186009128675216074e-36
3.468105527638190779e+03	2.247360405679208656e-36
3.543477386934673177e+03	1.223862626780943868e-36
3.618849246231156030e+03	7.492666405864810830e-37
3.694221105527638429e+03	5.440533579550381432e-37
3.769592964824120827e+03	4.062950348326434987e-37
3.844964824120603225e+03	2.328996929423431580e-37
3.920336683417085624e+03	1.717149145269251281e-37
3.995708542713568022e+03	1.236259313418825790e-37
4.071080402010050420e+03	1.034378584889720506e-37
4.146452261306532819e+03	7.561212786060993099e-38
4.221824120603015217e+03	5.130784039199910015e-38
4.297195979899497615e+03	4.713326677908390222e-38
4.372567839195980014e+03	3.469299909413632005e-38
4.447939698492462412e+03	2.712724146323024983e-38
4.523311557788944810e+03	2.619633098747945255e-38
4.598683417085427209e+03	1.626652166373370596e-38
4.674055276381909607e+03	1.103151863014362243e-38
4.749427135678392006e+03	1.094476828512657276e-38
4.824798994974874404e+03	1.130333694100882309e-38
4.900170854271356802e+03	8.914458719357004795e-39
4.975542713567839201e+03	8.139934527770573078e-39
5.050914572864321599e+03	4.490227683073220479e-39
5.126286432160803997e+03	3.715622170532848768e-39
5.201658291457286396e+03	3.990329221596925748e-39
