# Chain:	[5641.2, 4870.0, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 561.9585, 41.5575]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	5.685812361621507478e-27
1.282321608040200999e+03	4.052484296484011065e-28
1.357693467336683398e+03	1.191227961211637842e-27
1.433065326633165796e+03	3.512661742065836618e-33
1.508437185929648194e+03	9.880616825248002168e-31
1.583809045226130593e+03	1.424519232106584653e-27
1.659180904522612991e+03	8.714333717725756186e-31
1.734552763819095389e+03	3.997381643082330362e-32
1.809924623115578015e+03	2.064374436599487048e-31
1.885296482412060413e+03	2.564068867279027844e-32
1.960668341708542812e+03	9.405445853312051761e-34
2.036040201005025210e+03	1.907203738345213169e-33
2.111412060301507609e+03	5.555961716869013712e-33
2.186783919597990007e+03	2.854366742089292450e-32
2.262155778894472405e+03	7.861120361533996922e-33
2.337527638190954804e+03	1.329806604280997267e-32
2.412899497487437202e+03	3.127052402235017979e-32
2.488271356783919600e+03	1.272389202923667625e-30
2.563643216080401999e+03	6.029537985452777899e-32
2.639015075376884397e+03	9.312813785837892114e-33
2.714386934673366795e+03	4.986723909604132387e-33
2.789758793969849194e+03	1.071124479283742865e-32
2.865130653266331592e+03	2.810849779159073980e-33
2.940502512562813990e+03	2.761746522661870967e-33
3.015874371859296389e+03	1.488403165566122626e-32
3.091246231155778787e+03	2.984938917415313905e-31
3.166618090452261185e+03	7.826231804926513029e-32
3.241989949748743584e+03	6.171657106702925064e-33
3.317361809045225982e+03	1.804694989746353025e-33
3.392733668341708380e+03	8.358154496736571077e-34
3.468105527638190779e+03	4.573988962057256460e-34
3.543477386934673177e+03	2.662190346122587217e-34
3.618849246231156030e+03	1.867841015035419497e-34
3.694221105527638429e+03	2.082657722394713255e-34
3.769592964824120827e+03	1.863514419862423760e-32
3.844964824120603225e+03	1.962019334321931606e-34
3.920336683417085624e+03	7.052116381561335952e-35
3.995708542713568022e+03	4.149293584414631193e-35
4.071080402010050420e+03	3.081494324685650569e-35
4.146452261306532819e+03	1.958794789972745582e-35
4.221824120603015217e+03	1.965585036235758776e-35
4.297195979899497615e+03	1.633387146961744809e-35
4.372567839195980014e+03	1.330539998706175678e-35
4.447939698492462412e+03	1.473612567421544204e-35
4.523311557788944810e+03	1.208154217814970445e-35
4.598683417085427209e+03	2.754136532999055920e-35
4.674055276381909607e+03	1.879070806923951199e-34
4.749427135678392006e+03	5.497058865157828202e-33
4.824798994974874404e+03	1.656694459010077579e-34
4.900170854271356802e+03	2.519782626883535510e-35
4.975542713567839201e+03	9.792666464114288995e-36
5.050914572864321599e+03	4.807292380012545896e-36
5.126286432160803997e+03	2.863134897239591982e-36
5.201658291457286396e+03	2.229572566400343327e-36
