# Chain:	[2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.009219090354393860e-26
1.282321608040200999e+03	7.193069794175719756e-28
1.357693467336683398e+03	2.114403225005258711e-27
1.433065326633165796e+03	6.234896726418475081e-33
1.508437185929648194e+03	1.753787583956310105e-30
1.583809045226130593e+03	8.278210110501968874e-26
1.659180904522612991e+03	1.788740442969722994e-28
1.734552763819095389e+03	2.510083739139234413e-29
1.809924623115578015e+03	4.810329960548237084e-28
1.885296482412060413e+03	6.017229586070844749e-29
1.960668341708542812e+03	6.533538549958809569e-31
2.036040201005025210e+03	9.026357390600824184e-31
2.111412060301507609e+03	7.918745059665305579e-30
2.186783919597990007e+03	5.959574784748293356e-29
2.262155778894472405e+03	5.418707853642553761e-30
2.337527638190954804e+03	1.113827268892898258e-29
2.412899497487437202e+03	7.585534449584877663e-31
2.488271356783919600e+03	2.428634002440766482e-30
2.563643216080401999e+03	1.644546201360218102e-31
2.639015075376884397e+03	3.187292485233520416e-32
2.714386934673366795e+03	1.814999550514788067e-32
2.789758793969849194e+03	2.168803877583539421e-32
2.865130653266331592e+03	9.411471556303577782e-33
2.940502512562813990e+03	1.257164929181490103e-32
3.015874371859296389e+03	3.313497369398872627e-32
3.091246231155778787e+03	5.417090382218913070e-31
3.166618090452261185e+03	1.504875232745580232e-31
3.241989949748743584e+03	2.754882433224899743e-32
3.317361809045225982e+03	2.364239952000369946e-32
3.392733668341708380e+03	2.876883947290458975e-32
3.468105527638190779e+03	3.623229347222861876e-32
3.543477386934673177e+03	6.079595475337732321e-32
3.618849246231156030e+03	9.427742242946346683e-32
3.694221105527638429e+03	2.425919636616327288e-31
3.769592964824120827e+03	4.448182599767402350e-29
3.844964824120603225e+03	3.604701754466583981e-31
3.920336683417085624e+03	8.804540887863156411e-32
3.995708542713568022e+03	4.114464573357802996e-32
4.071080402010050420e+03	2.507107942296599060e-32
4.146452261306532819e+03	1.128475821585517018e-32
4.221824120603015217e+03	2.291400620642984095e-32
4.297195979899497615e+03	1.691983199982817003e-32
4.372567839195980014e+03	1.552892887618164475e-32
4.447939698492462412e+03	2.252820009079102034e-32
4.523311557788944810e+03	1.660363341226305671e-32
4.598683417085427209e+03	5.834979925185458903e-32
4.674055276381909607e+03	4.452598634423674722e-31
4.749427135678392006e+03	1.317278217840366300e-29
4.824798994974874404e+03	3.918219616657789029e-31
4.900170854271356802e+03	5.620031237544645503e-32
4.975542713567839201e+03	1.963536385085222919e-32
5.050914572864321599e+03	9.405953020240027755e-33
5.126286432160803997e+03	5.110728013283513131e-33
5.201658291457286396e+03	3.462303274622296398e-33
5.277030150753768794e+03	2.117388333448703500e-33
5.352402010050251192e+03	1.366039661026347684e-33
