# Chain:	[3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.001529776543960256e-26
1.282321608040200999e+03	7.138265271117852232e-28
1.357693467336683398e+03	2.098293432717095741e-27
1.433065326633165796e+03	6.187392593804176310e-33
1.508437185929648194e+03	1.740425348522231506e-30
1.583809045226130593e+03	8.276328942358785599e-26
1.659180904522612991e+03	1.788632604003127902e-28
1.734552763819095389e+03	2.510043810330920311e-29
1.809924623115578015e+03	4.810329178441558373e-28
1.885296482412060413e+03	6.017228854751377404e-29
1.960668341708542812e+03	6.533448144256328372e-31
2.036040201005025210e+03	9.026150233201555988e-31
2.111412060301507609e+03	7.918714571878892345e-30
2.186783919597990007e+03	5.959569799134788731e-29
2.262155778894472405e+03	5.418632054654124576e-30
2.337527638190954804e+03	1.113815559749602103e-29
2.412899497487437202e+03	7.581345212621284054e-31
2.488271356783919600e+03	2.411427571741976149e-30
2.563643216080401999e+03	1.636395286108624307e-31
2.639015075376884397e+03	3.174706790538571158e-32
2.714386934673366795e+03	1.808260911467967920e-32
2.789758793969849194e+03	2.154319837632485169e-32
2.865130653266331592e+03	9.373483473728973295e-33
2.940502512562813990e+03	1.253434359894009282e-32
3.015874371859296389e+03	3.293372464687965478e-32
3.091246231155778787e+03	5.376723678297050833e-31
3.166618090452261185e+03	1.494291936384992963e-31
3.241989949748743584e+03	2.746545446492035983e-32
3.317361809045225982e+03	2.361810878074140322e-32
3.392733668341708380e+03	2.875769020565510621e-32
3.468105527638190779e+03	3.622630771801772061e-32
3.543477386934673177e+03	6.079269504440795628e-32
3.618849246231156030e+03	9.427542678784869138e-32
3.694221105527638429e+03	2.425905145973571255e-31
3.769592964824120827e+03	4.448182491552350969e-29
3.844964824120603225e+03	3.604695551276770033e-31
3.920336683417085624e+03	8.804495152285092966e-32
3.995708542713568022e+03	4.114431646087338431e-32
4.071080402010050420e+03	2.507080392038285334e-32
4.146452261306532819e+03	1.128455682598837706e-32
4.221824120603015217e+03	2.291386955005692525e-32
4.297195979899497615e+03	1.691970646226446324e-32
4.372567839195980014e+03	1.552883647277145451e-32
4.447939698492462412e+03	2.252812783847252082e-32
4.523311557788944810e+03	1.660356363938723138e-32
4.598683417085427209e+03	5.834975592662722107e-32
4.674055276381909607e+03	4.452598340603605233e-31
4.749427135678392006e+03	1.317278214925271169e-29
4.824798994974874404e+03	3.918219315597947807e-31
4.900170854271356802e+03	5.620028863214356597e-32
4.975542713567839201e+03	1.963534217046342725e-32
5.050914572864321599e+03	9.405941060698872590e-33
5.126286432160803997e+03	5.110718116873040807e-33
5.201658291457286396e+03	3.462292646540623245e-33
5.277030150753768794e+03	2.117381989464859642e-33
