# Chain:	[1170.4, 690.146]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.587312311532355616e-25
1.282321608040200999e+03	1.131334945120513829e-26
1.357693467336683398e+03	3.325559635832896973e-26
1.433065326633165796e+03	9.806322957586470850e-32
1.508437185929648194e+03	2.758378879702805205e-29
1.583809045226130593e+03	5.568931596135670444e-26
1.659180904522612991e+03	5.950649155192565994e-29
1.734552763819095389e+03	6.081442536582642132e-30
1.809924623115578015e+03	1.011189564676229230e-28
1.885296482412060413e+03	1.264391357386339657e-29
1.960668341708542812e+03	1.555400205738575942e-31
2.036040201005025210e+03	2.316390876945426493e-31
2.111412060301507609e+03	1.724090083157026097e-30
2.186783919597990007e+03	1.260955700431763784e-29
2.262155778894472405e+03	1.291668075639681545e-30
2.337527638190954804e+03	2.576198658794200805e-30
2.412899497487437202e+03	1.012454056638166597e-30
2.488271356783919600e+03	3.555513957842893740e-29
2.563643216080401999e+03	1.694663874958493744e-30
2.639015075376884397e+03	2.630302497840726557e-31
2.714386934673366795e+03	1.410594221855868271e-31
2.789758793969849194e+03	2.995574236226856353e-31
2.865130653266331592e+03	7.934799670160195129e-32
2.940502512562813990e+03	7.862139193095900992e-32
3.015874371859296389e+03	4.168509443360280150e-31
3.091246231155778787e+03	8.335433935019642022e-30
3.166618090452261185e+03	2.187150749507266547e-30
3.241989949748743584e+03	1.755866061280319015e-31
3.317361809045225982e+03	5.443655989915739484e-32
3.392733668341708380e+03	2.874644245435214542e-32
3.468105527638190779e+03	1.979602867724357146e-32
3.543477386934673177e+03	1.939916596483758531e-32
3.618849246231156030e+03	2.385168285945484749e-32
3.694221105527638429e+03	5.386683064908186931e-32
3.769592964824120827e+03	9.338091769783104925e-30
3.844964824120603225e+03	7.691926368993808741e-32
3.920336683417085624e+03	1.941057881560013800e-32
3.995708542713568022e+03	9.306127487947812170e-33
4.071080402010050420e+03	5.823075221657355842e-33
4.146452261306532819e+03	2.778639082067275659e-33
4.221824120603015217e+03	5.087549879412999178e-33
4.297195979899497615e+03	3.806840555607974561e-33
4.372567839195980014e+03	3.447430086609151929e-33
4.447939698492462412e+03	4.875400753927338682e-33
4.523311557788944810e+03	3.626897063084861381e-33
4.598683417085427209e+03	1.233475422644022248e-32
4.674055276381909607e+03	9.351140518772663622e-32
4.749427135678392006e+03	2.764775348503270534e-30
4.824798994974874404e+03	8.229728242129866125e-32
4.900170854271356802e+03	1.184373415645666622e-32
4.975542713567839201e+03	4.165246531378482998e-33
5.050914572864321599e+03	1.998489057561740274e-33
5.126286432160803997e+03	1.092801065578861845e-33
5.201658291457286396e+03	7.483183638682177505e-34
5.277030150753768794e+03	4.573206542627891603e-34
5.352402010050251192e+03	2.996602924855206028e-34
5.427773869346733591e+03	2.183776118023566134e-34
