# Chain:	[2510.15, 2338.06, 1170.4, 690.146]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	8.372607945149087249e-26
1.282321608040200999e+03	5.967460770840080481e-27
1.357693467336683398e+03	1.754135391425397980e-26
1.433065326633165796e+03	5.172548395855668714e-32
1.508437185929648194e+03	1.454964140083807463e-29
1.583809045226130593e+03	3.733952488318445653e-26
1.659180904522612991e+03	4.898737599981740931e-29
1.734552763819095389e+03	5.691958325286332134e-30
1.809924623115578015e+03	1.010426661359777231e-28
1.885296482412060413e+03	1.263677994282913602e-29
1.960668341708542812e+03	1.467214268781600193e-31
2.036040201005025210e+03	2.114319891920811374e-31
2.111412060301507609e+03	1.694350874934941046e-30
2.186783919597990007e+03	1.256092500587345064e-29
2.262155778894472405e+03	1.217730208540997996e-30
2.337527638190954804e+03	2.461982216224820021e-30
2.412899497487437202e+03	6.038163527866559720e-31
2.488271356783919600e+03	1.877118490282242652e-29
2.563643216080401999e+03	8.995856013623565249e-31
2.639015075376884397e+03	1.402635162186425941e-31
2.714386934673366795e+03	7.532759533723479153e-32
2.789758793969849194e+03	1.582733454115873509e-31
2.865130653266331592e+03	4.229264993580283668e-32
2.940502512562813990e+03	4.223167989167311886e-32
3.015874371859296389e+03	2.205432414592747294e-31
3.091246231155778787e+03	4.397877442982064366e-30
3.166618090452261185e+03	1.154806682663136730e-30
3.241989949748743584e+03	9.426375079269753687e-32
3.317361809045225982e+03	3.074224037686014508e-32
3.392733668341708380e+03	1.787092739504452705e-32
3.468105527638190779e+03	1.395724496121497462e-32
3.543477386934673177e+03	1.621949386691927335e-32
3.618849246231156030e+03	2.190504099063647235e-32
3.694221105527638429e+03	5.245334579856519641e-32
3.769592964824120827e+03	9.337036189722473933e-30
3.844964824120603225e+03	7.631417563588881330e-32
3.920336683417085624e+03	1.896445266502570689e-32
3.995708542713568022e+03	8.984939540979555732e-33
4.071080402010050420e+03	5.554337157998291469e-33
4.146452261306532819e+03	2.582194017105220981e-33
4.221824120603015217e+03	4.954248882283942722e-33
4.297195979899497615e+03	3.684385363348869880e-33
4.372567839195980014e+03	3.357295492416273718e-33
4.447939698492462412e+03	4.804922474023491040e-33
4.523311557788944810e+03	3.558837347160853256e-33
4.598683417085427209e+03	1.229249277982639733e-32
4.674055276381909607e+03	9.348274460832959232e-32
4.749427135678392006e+03	2.764746913306727630e-30
4.824798994974874404e+03	8.226791564082981772e-32
4.900170854271356802e+03	1.182057383189267521e-32
4.975542713567839201e+03	4.144098469389768274e-33
5.050914572864321599e+03	1.986823163559632001e-33
5.126286432160803997e+03	1.083147645428983555e-33
5.201658291457286396e+03	7.379512375177774310e-34
5.277030150753768794e+03	4.511324366619067873e-34
5.352402010050251192e+03	2.934560752221218028e-34
