# Chain:	[1533.66, 561.9585, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	5.310132030332936298e-31
1.517437185929648251e+02	1.873527419077366322e-32
2.271155778894472519e+02	2.784417710030759654e-33
3.024874371859296502e+02	7.301879809344261900e-34
3.778592964824120486e+02	2.604622392399554561e-34
4.532311557788945038e+02	1.125550066242240214e-34
5.286030150753769021e+02	5.551910226944754667e-35
6.039748743718593005e+02	3.012275944789693579e-35
6.793467336683416988e+02	1.758016104634695566e-35
7.547185929648240972e+02	1.087100511160012738e-35
8.300904522613064955e+02	7.045963140051733697e-36
9.054623115577890076e+02	4.727806710869002665e-36
9.808341708542714059e+02	3.290103360965237005e-36
1.056206030150753804e+03	2.349982123715907896e-36
1.131577889447236203e+03	1.713056419476606475e-36
1.206949748743718601e+03	2.637413258612063332e-27
1.282321608040200999e+03	1.879779912539190847e-28
1.357693467336683398e+03	5.525613970094778236e-28
1.433065326633165796e+03	1.629964644808670127e-33
1.508437185929648194e+03	4.583214232658802664e-31
1.583809045226130593e+03	2.171907546121569870e-26
1.659180904522612991e+03	4.693435049357948130e-29
1.734552763819095389e+03	6.586306967070137337e-30
1.809924623115578015e+03	1.262211838078078434e-28
1.885296482412060413e+03	1.578897645903881697e-29
1.960668341708542812e+03	1.714363986955427183e-31
2.036040201005025210e+03	2.368453464665582552e-31
2.111412060301507609e+03	2.077843867106769573e-30
2.186783919597990007e+03	1.563768646965430911e-29
2.262155778894472405e+03	1.421837434649552275e-30
2.337527638190954804e+03	2.922623311560152934e-30
2.412899497487437202e+03	1.989830344925853964e-31
2.488271356783919600e+03	6.348612306733622072e-31
2.563643216080401999e+03	4.303846460035375141e-32
2.639015075376884397e+03	8.345791651831259076e-33
2.714386934673366795e+03	4.753109586454391476e-33
2.789758793969849194e+03	5.670657877722574019e-33
2.865130653266331592e+03	2.464253495737052553e-33
2.940502512562813990e+03	3.293564417078027483e-33
3.015874371859296389e+03	8.666403073784600853e-33
