# Chain:	[5641.2, 4870.0, 4218.4, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.064825511097353893e-33
1.282321608040200999e+03	7.589396884330107056e-35
1.357693467336683398e+03	2.230903592936891620e-34
1.433065326633165796e+03	6.578429953218995696e-40
1.508437185929648194e+03	1.850418584320174638e-37
1.583809045226130593e+03	2.605064481576127418e-34
1.659180904522612991e+03	1.493367100783457122e-37
1.734552763819095389e+03	5.529389847874890349e-39
1.809924623115578015e+03	1.083070823040486983e-39
1.885296482412060413e+03	1.012740077140564403e-40
1.960668341708542812e+03	1.251949142976355904e-40
2.036040201005025210e+03	2.868740813463038638e-40
2.111412060301507609e+03	4.221985673815485228e-40
2.186783919597990007e+03	6.904138105731137226e-40
2.262155778894472405e+03	1.049673593566941200e-39
2.337527638190954804e+03	1.621496378252552926e-39
2.412899497487437202e+03	5.801306203440591151e-39
2.488271356783919600e+03	2.382767411331267591e-37
2.563643216080401999e+03	1.128748639041437295e-38
2.639015075376884397e+03	1.742882280065050077e-39
2.714386934673366795e+03	9.331749157375694467e-40
2.789758793969849194e+03	2.005767435672712839e-39
2.865130653266331592e+03	5.260635791483094026e-40
2.940502512562813990e+03	5.166137637452015997e-40
3.015874371859296389e+03	2.786921235481269624e-39
3.091246231155778787e+03	5.590030163236226817e-38
3.166618090452261185e+03	1.465587727862767102e-38
3.241989949748743584e+03	1.154516043653696487e-39
3.317361809045225982e+03	3.363811061373708618e-40
3.392733668341708380e+03	1.543964063631755925e-40
3.468105527638190779e+03	8.289145096765984954e-41
3.543477386934673177e+03	4.514084552820265026e-41
3.618849246231156030e+03	2.763588734718630237e-41
3.694221105527638429e+03	2.006681800157958337e-41
3.769592964824120827e+03	1.498575167255172519e-41
3.844964824120603225e+03	8.590252559904249278e-42
3.920336683417085624e+03	6.333518372022193500e-42
3.995708542713568022e+03	4.559808386879488072e-42
4.071080402010050420e+03	3.815193216660348770e-42
4.146452261306532819e+03	2.788871323566791467e-42
4.221824120603015217e+03	1.892434041893051166e-42
4.297195979899497615e+03	1.738459422125169871e-42
4.372567839195980014e+03	1.279613641882039215e-42
4.447939698492462412e+03	1.000558877852807993e-42
4.523311557788944810e+03	9.662232546652768332e-43
4.598683417085427209e+03	5.999730081104870732e-43
4.674055276381909607e+03	4.068855993540635463e-43
4.749427135678392006e+03	4.036859069717307083e-43
4.824798994974874404e+03	4.169113229230366156e-43
4.900170854271356802e+03	3.288001408102965947e-43
4.975542713567839201e+03	3.002326560900387904e-43
5.050914572864321599e+03	1.656171777719845094e-43
5.126286432160803997e+03	1.370466936165453402e-43
5.201658291457286396e+03	1.471789652344865533e-43
