# Chain:	[5641.2, 4870.0, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 561.9585, 41.5575, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	1.277654890319140072e-32
1.282321608040200999e+03	9.106308914259918346e-34
1.357693467336683398e+03	2.676799959844090193e-33
1.433065326633165796e+03	7.893277455092565552e-39
1.508437185929648194e+03	2.220266446244017737e-36
1.583809045226130593e+03	3.125745335545526144e-33
1.659180904522612991e+03	1.791850175895397637e-36
1.734552763819095389e+03	6.634563039664495587e-38
1.809924623115578015e+03	1.299546939097647478e-38
1.885296482412060413e+03	1.215159008396940166e-39
1.960668341708542812e+03	1.502179397736418924e-39
2.036040201005025210e+03	3.442123325540850685e-39
2.111412060301507609e+03	5.065844672944284418e-39
2.186783919597990007e+03	8.284085723242616726e-39
2.262155778894472405e+03	1.259474520550863492e-38
2.337527638190954804e+03	1.945588977459930605e-38
2.412899497487437202e+03	6.960828007798333288e-38
2.488271356783919600e+03	2.859017185306838393e-36
2.563643216080401999e+03	1.354354496189859327e-37
2.639015075376884397e+03	2.091236587749346885e-38
2.714386934673366795e+03	1.119690956114077224e-38
2.789758793969849194e+03	2.406665267053152898e-38
2.865130653266331592e+03	6.312092427471686798e-39
2.940502512562813990e+03	6.198706687399105216e-39
3.015874371859296389e+03	3.343950260712112171e-38
3.091246231155778787e+03	6.707323688864253575e-37
3.166618090452261185e+03	1.758518469158260944e-37
3.241989949748743584e+03	1.385272097402998723e-38
3.317361809045225982e+03	4.036144521222690428e-39
3.392733668341708380e+03	1.852560082208409145e-39
3.468105527638190779e+03	9.945917579053672667e-40
3.543477386934673177e+03	5.416326096734172114e-40
3.618849246231156030e+03	3.315954233764899113e-40
3.694221105527638429e+03	2.407762387890260026e-40
3.769592964824120827e+03	1.798099191839650276e-40
3.844964824120603225e+03	1.030720815556674894e-40
3.920336683417085624e+03	7.599414774164292701e-41
3.995708542713568022e+03	5.471188869630834956e-41
4.071080402010050420e+03	4.577745574253849981e-41
4.146452261306532819e+03	3.346290117855891718e-41
4.221824120603015217e+03	2.270679640027908877e-41
4.297195979899497615e+03	2.085929721960367606e-41
4.372567839195980014e+03	1.535373270297425997e-41
4.447939698492462412e+03	1.200543121871160731e-41
4.523311557788944810e+03	1.159344750475554892e-41
4.598683417085427209e+03	7.198911369825029521e-42
4.674055276381909607e+03	4.882108574572125607e-42
4.749427135678392006e+03	4.843716344322198892e-42
4.824798994974874404e+03	5.002404478580712762e-42
4.900170854271356802e+03	3.945182600020271581e-42
4.975542713567839201e+03	3.602409195583893728e-42
5.050914572864321599e+03	1.987195037083257008e-42
5.126286432160803997e+03	1.644385643247791284e-42
5.201658291457286396e+03	1.765959988037515731e-42
