# Chain:	[5641.2, 4870.0, 4218.4, 3603.06, 3157.51, 2841.2, 2640.63, 2510.15, 2338.06, 1170.4, 690.146, 571.1538, 41.5575, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	7.249373173504583465e-34
1.517437185929648251e+02	2.557732902703960801e-35
2.271155778894472519e+02	3.801277055942142123e-36
3.024874371859296502e+02	9.968500086935913354e-37
3.778592964824120486e+02	3.555821134147355403e-37
4.532311557788945038e+02	1.536596907392002314e-37
5.286030150753769021e+02	7.579447899037564123e-38
6.039748743718593005e+02	4.112348299554884333e-38
6.793467336683416988e+02	2.400037271150248481e-38
7.547185929648240972e+02	1.484105712906804152e-38
8.300904522613064955e+02	9.619123569285453238e-39
9.054623115577890076e+02	6.454384739119149519e-39
9.808341708542714059e+02	4.491637290145350318e-39
1.056206030150753804e+03	3.208187154023232255e-39
1.131577889447236203e+03	2.338658470470253823e-39
1.206949748743718601e+03	3.655030945110946299e-30
1.282321608040200999e+03	2.605072878668167911e-31
1.357693467336683398e+03	7.657612998351065954e-31
1.433065326633165796e+03	2.258856964122398640e-36
1.508437185929648194e+03	6.351598310086135117e-34
1.583809045226130593e+03	2.991861988386363330e-29
1.659180904522612991e+03	6.464457426037592713e-32
1.734552763819095389e+03	9.071258944720652368e-33
1.809924623115578015e+03	1.738410298159130915e-31
1.885296482412060413e+03	2.174573041343352689e-32
1.960668341708542812e+03	2.361173484037987040e-34
2.036040201005025210e+03	3.262067456655207537e-34
2.111412060301507609e+03	2.861766856945080176e-33
2.186783919597990007e+03	2.153737532312542436e-32
2.262155778894472405e+03	1.958280336222019450e-33
2.337527638190954804e+03	4.025284078850591634e-33
2.412899497487437202e+03	2.741770174270136824e-34
2.488271356783919600e+03	8.794328466051089375e-34
2.563643216080401999e+03	5.951520376532615912e-35
2.639015075376884397e+03	1.153141188174232185e-35
2.714386934673366795e+03	6.566128280049824839e-36
2.789758793969849194e+03	7.852600780924679313e-36
2.865130653266331592e+03	3.405111026842158095e-36
2.940502512562813990e+03	4.547097953723843503e-36
3.015874371859296389e+03	1.199513375987708594e-35
3.091246231155778787e+03	1.961784825776226826e-34
3.166618090452261185e+03	5.449226998366391205e-35
3.241989949748743584e+03	9.964378779317943726e-36
3.317361809045225982e+03	8.546634231284127871e-36
3.392733668341708380e+03	1.039794838758466709e-35
3.468105527638190779e+03	1.309464834432929130e-35
3.543477386934673177e+03	2.197145779546977726e-35
3.618849246231156030e+03	3.407123122188006838e-35
3.694221105527638429e+03	8.767072312314779287e-35
3.769592964824120827e+03	1.607533411441427009e-32
3.844964824120603225e+03	1.302707684846928331e-34
3.920336683417085624e+03	3.181887759303082159e-35
3.995708542713568022e+03	1.486934768865811003e-35
4.071080402010050420e+03	9.060498560580029333e-36
4.146452261306532819e+03	4.078237346428406827e-36
4.221824120603015217e+03	8.280936487368325396e-36
4.297195979899497615e+03	6.114693984179382592e-36
4.372567839195980014e+03	5.612030277562395092e-36
4.447939698492462412e+03	8.141501875883766429e-36
4.523311557788944810e+03	6.000415894691772597e-36
4.598683417085427209e+03	2.108710379369004239e-35
4.674055276381909607e+03	1.609129381231645444e-34
4.749427135678392006e+03	4.760525646018090756e-33
4.824798994974874404e+03	1.416009580458301890e-34
4.900170854271356802e+03	2.031029549803422644e-35
4.975542713567839201e+03	7.096049790471953820e-36
5.050914572864321599e+03	3.399231056302469801e-36
5.126286432160803997e+03	1.846974783014872295e-36
5.201658291457286396e+03	1.251248745515075420e-36
5.277030150753768794e+03	7.652079365536286712e-37
5.352402010050251192e+03	4.936771145044763099e-37
5.427773869346733591e+03	3.640221545769909021e-37
5.503145728643215989e+03	2.723021496306472008e-37
5.578517587939698387e+03	2.184978037596519375e-37
5.653889447236180786e+03	1.650534003358527775e-37
5.729261306532663184e+03	1.133480881030830859e-37
5.804633165829145582e+03	9.436267315616695411e-38
5.880005025125627981e+03	8.473383524781801331e-38
5.955376884422110379e+03	7.377427950935297687e-38
6.030748743718592777e+03	3.971153508769448831e-38
6.106120603015075176e+03	4.488518572658468016e-38
6.181492462311557574e+03	3.999632055238537768e-38
6.256864321608039972e+03	2.291402632067091034e-38
6.332236180904522371e+03	2.232687121961975235e-38
6.407608040201004769e+03	1.775215556290720839e-38
6.482979899497487168e+03	1.495005672937117223e-38
6.558351758793969566e+03	1.815323569738833398e-38
6.633723618090451964e+03	1.244596943661661145e-38
6.709095477386934363e+03	8.298692170753238806e-39
6.784467336683416761e+03	1.124710972850490840e-38
6.859839195979899159e+03	8.346373717473435512e-39
6.935211055276381558e+03	8.563477255656115290e-39
