# Chain:	[5778.4, 3820.7, 3411.54, 2550.85, 2265.8, 1721.43, 1011.8, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	1.436961156362243795e-30
1.517437185929648251e+02	5.069904309752137670e-32
2.271155778894472519e+02	7.534841072775451911e-33
3.024874371859296502e+02	1.975942894549005373e-33
3.778592964824120486e+02	7.048301593048702438e-34
4.532311557788945038e+02	3.045822053937975571e-34
5.286030150753769021e+02	1.502388131624234204e-34
6.039748743718593005e+02	8.151442375032201978e-35
6.793467336683416988e+02	4.757322115888954084e-35
7.547185929648240972e+02	2.941774702917388464e-35
8.300904522613064955e+02	1.906689943598196855e-35
9.054623115577890076e+02	1.279379601015597550e-35
9.808341708542714059e+02	8.903263992529182393e-36
1.056206030150753804e+03	7.911258016613479351e-18
1.131577889447236203e+03	8.159638500572582226e-20
1.206949748743718601e+03	2.898987497133613879e-22
1.282321608040200999e+03	2.795935495413929384e-19
1.357693467336683398e+03	2.456830487987054375e-18
1.433065326633165796e+03	9.213036117274425306e-22
1.508437185929648194e+03	9.823733467103729952e-23
1.583809045226130593e+03	3.736509964107529700e-18
1.659180904522612991e+03	4.691166359536769959e-20
1.734552763819095389e+03	4.611017417902104643e-17
1.809924623115578015e+03	4.352467089345933146e-17
1.885296482412060413e+03	4.590376287037730039e-20
1.960668341708542812e+03	3.344671299295395902e-20
2.036040201005025210e+03	2.438123070232592342e-20
2.111412060301507609e+03	1.308789132614187708e-19
2.186783919597990007e+03	8.828513787493713232e-19
2.262155778894472405e+03	6.684297379672388925e-19
2.337527638190954804e+03	4.909416358935881555e-21
2.412899497487437202e+03	1.438082238745124891e-21
2.488271356783919600e+03	1.372738835800053382e-19
2.563643216080401999e+03	3.898696294256331300e-22
2.639015075376884397e+03	2.723454799090540595e-22
2.714386934673366795e+03	1.628829864082158662e-22
2.789758793969849194e+03	1.277225576395280619e-23
2.865130653266331592e+03	1.192689683175573946e-23
2.940502512562813990e+03	9.139388813351331021e-24
3.015874371859296389e+03	4.911089512616207742e-24
3.091246231155778787e+03	1.815523618947964433e-23
3.166618090452261185e+03	1.455254522557482265e-23
3.241989949748743584e+03	1.723082760283998996e-23
3.317361809045225982e+03	2.444323070680715401e-23
3.392733668341708380e+03	2.084242586324807778e-23
3.468105527638190779e+03	6.395665044142412191e-23
3.543477386934673177e+03	1.620643514078212599e-22
3.618849246231156030e+03	8.621920912505756712e-22
3.694221105527638429e+03	6.095764704631927291e-20
3.769592964824120827e+03	4.196770129879224000e-21
3.844964824120603225e+03	1.374215308267939460e-21
3.920336683417085624e+03	1.279440023787857189e-21
3.995708542713568022e+03	7.373113451120795097e-22
4.071080402010050420e+03	2.345152935898998453e-21
4.146452261306532819e+03	6.668447561787918484e-19
4.221824120603015217e+03	4.953118685630079980e-21
4.297195979899497615e+03	1.184326538027162565e-21
4.372567839195980014e+03	6.115262472015496611e-22
4.447939698492462412e+03	3.191370558144612236e-22
4.523311557788944810e+03	3.787051222675903417e-22
4.598683417085427209e+03	8.358602986687332628e-22
4.674055276381909607e+03	4.894474221590532702e-21
4.749427135678392006e+03	2.158188069187957050e-21
4.824798994974874404e+03	1.347763542335942716e-22
4.900170854271356802e+03	3.327564271945225255e-23
4.975542713567839201e+03	3.142398208587524110e-23
5.050914572864321599e+03	3.958100937213962491e-22
5.126286432160803997e+03	8.301922567883559345e-24
5.201658291457286396e+03	2.232769385475422470e-24
5.277030150753768794e+03	1.646679000024277549e-24
5.352402010050251192e+03	6.984824832125641655e-25
5.427773869346733591e+03	1.103435782916967575e-24
5.503145728643215989e+03	5.540553321935678190e-25
5.578517587939698387e+03	6.824565456288956801e-25
5.653889447236180786e+03	1.780448552854954054e-24
5.729261306532663184e+03	3.347906202399740003e-23
5.804633165829145582e+03	1.107220884630268572e-24
5.880005025125627981e+03	3.008659218926935783e-25
5.955376884422110379e+03	1.478172042161743472e-25
6.030748743718592777e+03	8.444764737339287168e-26
6.106120603015075176e+03	1.133287638838415157e-25
6.181492462311557574e+03	5.255154525734052584e-26
6.256864321608039972e+03	4.489365582813706095e-26
6.332236180904522371e+03	2.384187249929883310e-26
6.407608040201004769e+03	4.019778951500207149e-26
6.482979899497487168e+03	1.158699003105394447e-26
6.558351758793969566e+03	5.317300968528577090e-26
6.633723618090451964e+03	3.092896656383218493e-26
6.709095477386934363e+03	4.965481829640518277e-26
6.784467336683416761e+03	2.025478075034969514e-26
6.859839195979899159e+03	1.230488316125073697e-26
6.935211055276381558e+03	6.891816397633708650e-27
7.010582914572863956e+03	9.572662545607314002e-27
7.085954773869346354e+03	1.506208921936008153e-27
7.161326633165828753e+03	1.513213301878377724e-26
7.236698492462312061e+03	1.296728132189637784e-26
7.312070351758794459e+03	1.842676427763405095e-26
7.387442211055276857e+03	1.636956805132352440e-26
7.462814070351759256e+03	1.427032646329462710e-26
7.538185929648241654e+03	1.604032363389661796e-27
7.613557788944724052e+03	7.218775601248301147e-27
7.688929648241206451e+03	4.325106241871344596e-27
7.764301507537688849e+03	2.586537465892038365e-27
7.839673366834171247e+03	6.085840972820272118e-28
7.915045226130653646e+03	6.964774600514854482e-27
7.990417085427136044e+03	2.007423208214914953e-27
8.065788944723618442e+03	2.953053584181559126e-27
8.141160804020100841e+03	1.093367982148644504e-27
8.216532663316582330e+03	5.613845148465541598e-27
8.291904522613065637e+03	4.477747762018701462e-28
8.367276381909547126e+03	1.762027693354489011e-28
8.442648241206030434e+03	7.437186620612336753e-28
8.518020100502511923e+03	5.731327427096111564e-28
8.593391959798995231e+03	4.077494802454121421e-27
8.668763819095476720e+03	2.932306996430339917e-27
8.744135678391960028e+03	2.650083976502488449e-28
