# Chain:	[6373.4, 5683.4, 5103.3, 4585.2, 4172.3, 3411.54, 2550.85, 2265.8, 1721.43, 1011.8, 9.4057]
# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	1.436961156362243795e-30
1.517437185929648251e+02	5.069904309752137670e-32
2.271155778894472519e+02	7.534841072775451911e-33
3.024874371859296502e+02	1.975942894549005373e-33
3.778592964824120486e+02	7.048301593048702438e-34
4.532311557788945038e+02	3.045822053937975571e-34
5.286030150753769021e+02	1.502388131624234204e-34
6.039748743718593005e+02	8.151442375032201978e-35
6.793467336683416988e+02	4.757322115888954084e-35
7.547185929648240972e+02	2.941774702917388464e-35
8.300904522613064955e+02	1.906689943598196855e-35
9.054623115577890076e+02	1.279379601015597550e-35
9.808341708542714059e+02	8.903263992529182393e-36
1.056206030150753804e+03	7.911258016613479351e-18
1.131577889447236203e+03	8.159638500572582226e-20
1.206949748743718601e+03	2.898987497133613879e-22
1.282321608040200999e+03	2.795935495413929384e-19
1.357693467336683398e+03	2.456830487987054375e-18
1.433065326633165796e+03	9.213036117274425306e-22
1.508437185929648194e+03	9.823733467103729952e-23
1.583809045226130593e+03	3.736509964107529700e-18
1.659180904522612991e+03	4.691166359536769959e-20
1.734552763819095389e+03	5.215081849376095080e-17
1.809924623115578015e+03	4.352687572896853046e-17
1.885296482412060413e+03	4.639474238239555456e-20
1.960668341708542812e+03	3.744539480748847398e-20
2.036040201005025210e+03	2.438454398374865132e-20
2.111412060301507609e+03	1.387098199000112969e-19
2.186783919597990007e+03	8.828559980632689049e-19
2.262155778894472405e+03	6.684300758201353648e-19
2.337527638190954804e+03	4.909712538008483411e-21
2.412899497487437202e+03	1.438310114319809042e-21
2.488271356783919600e+03	1.372739616150668513e-19
2.563643216080401999e+03	4.118290754995592455e-22
2.639015075376884397e+03	3.014346200646231552e-22
2.714386934673366795e+03	1.814968202717577825e-22
2.789758793969849194e+03	1.292709409722841273e-23
2.865130653266331592e+03	1.198594362634571841e-23
2.940502512562813990e+03	9.152642672996757111e-24
3.015874371859296389e+03	4.916437604308849219e-24
3.091246231155778787e+03	1.816148206695273363e-23
3.166618090452261185e+03	1.455311349413440372e-23
3.241989949748743584e+03	1.723165258561653572e-23
3.317361809045225982e+03	2.444429743956436542e-23
3.392733668341708380e+03	2.084377314419825266e-23
3.468105527638190779e+03	6.395807462356334101e-23
3.543477386934673177e+03	1.620650614772866699e-22
3.618849246231156030e+03	8.621928636536069840e-22
3.694221105527638429e+03	6.095764794713621913e-20
3.769592964824120827e+03	4.196772290182725812e-21
3.844964824120603225e+03	1.374216865244690863e-21
3.920336683417085624e+03	1.279442008079144398e-21
3.995708542713568022e+03	7.373123899124009398e-22
4.071080402010050420e+03	2.345153715612885225e-21
4.146452261306532819e+03	6.668447585330988791e-19
4.221824120603015217e+03	4.953121934827175358e-21
4.297195979899497615e+03	1.184334983387828190e-21
4.372567839195980014e+03	6.115734350393352221e-22
4.447939698492462412e+03	3.193952284862238234e-22
4.523311557788944810e+03	3.881042856249858670e-22
4.598683417085427209e+03	8.360965534897401434e-22
4.674055276381909607e+03	4.894582445471042421e-21
4.749427135678392006e+03	2.158298687285067376e-21
4.824798994974874404e+03	1.349418138858333589e-22
4.900170854271356802e+03	3.365074628092484059e-23
4.975542713567839201e+03	3.427329020223211562e-23
5.050914572864321599e+03	4.471312248900588189e-22
5.126286432160803997e+03	8.968460044379770144e-24
5.201658291457286396e+03	2.386657455581241756e-24
5.277030150753768794e+03	1.719902684648735851e-24
5.352402010050251192e+03	7.409427716448740650e-25
5.427773869346733591e+03	1.139252077927438258e-24
5.503145728643215989e+03	5.758992860850560762e-25
5.578517587939698387e+03	7.220741039350956162e-25
5.653889447236180786e+03	1.992125766587248037e-24
5.729261306532663184e+03	3.785076875735420030e-23
5.804633165829145582e+03	1.236409241903030460e-24
5.880005025125627981e+03	3.137793381728390946e-25
5.955376884422110379e+03	1.512921742932272109e-25
6.030748743718592777e+03	8.602109192107514083e-26
6.106120603015075176e+03	1.140194780825104631e-25
6.181492462311557574e+03	5.281640621549878203e-26
6.256864321608039972e+03	4.502238218934984964e-26
6.332236180904522371e+03	2.398629938951688920e-26
6.407608040201004769e+03	4.027501495551093203e-26
6.482979899497487168e+03	1.165618183572826310e-26
6.558351758793969566e+03	5.320905659513960979e-26
6.633723618090451964e+03	3.095809273052341448e-26
6.709095477386934363e+03	4.967964620273738774e-26
6.784467336683416761e+03	2.030446831831634702e-26
6.859839195979899159e+03	1.232647929071707843e-26
6.935211055276381558e+03	6.924012101746750201e-27
7.010582914572863956e+03	9.577498709089561140e-27
7.085954773869346354e+03	1.523196785492555025e-27
7.161326633165828753e+03	1.514905820468535283e-26
7.236698492462312061e+03	1.297041452098031715e-26
7.312070351758794459e+03	1.843517907423051753e-26
7.387442211055276857e+03	1.637133520653008264e-26
7.462814070351759256e+03	1.428361488091206339e-26
7.538185929648241654e+03	1.608209356888724849e-27
7.613557788944724052e+03	7.227942461830176123e-27
7.688929648241206451e+03	4.326169155593781182e-27
7.764301507537688849e+03	2.589871922138941701e-27
7.839673366834171247e+03	6.129876775194368800e-28
7.915045226130653646e+03	6.965144765636597585e-27
7.990417085427136044e+03	2.009668969365175164e-27
8.065788944723618442e+03	2.953943537080494345e-27
8.141160804020100841e+03	1.094678624329127057e-27
8.216532663316582330e+03	5.614279376663635626e-27
8.291904522613065637e+03	4.492012324322697475e-28
8.367276381909547126e+03	1.768650418895986668e-28
8.442648241206030434e+03	7.487692565329091432e-28
8.518020100502511923e+03	5.737954293647429201e-28
8.593391959798995231e+03	4.077806262644266890e-27
8.668763819095476720e+03	2.933754285301659904e-27
8.744135678391960028e+03	2.650146413436381660e-28
