# Electron_projectile_energy, keV	cross_section, cm^2
1.000000000000000000e+00	0.000000000000000000e+00
7.637185929648241256e+01	0.000000000000000000e+00
1.517437185929648251e+02	0.000000000000000000e+00
2.271155778894472519e+02	0.000000000000000000e+00
3.024874371859296502e+02	0.000000000000000000e+00
3.778592964824120486e+02	0.000000000000000000e+00
4.532311557788945038e+02	0.000000000000000000e+00
5.286030150753769021e+02	0.000000000000000000e+00
6.039748743718593005e+02	0.000000000000000000e+00
6.793467336683416988e+02	0.000000000000000000e+00
7.547185929648240972e+02	0.000000000000000000e+00
8.300904522613064955e+02	0.000000000000000000e+00
9.054623115577890076e+02	0.000000000000000000e+00
9.808341708542714059e+02	0.000000000000000000e+00
1.056206030150753804e+03	0.000000000000000000e+00
1.131577889447236203e+03	0.000000000000000000e+00
1.206949748743718601e+03	9.983996731354711257e-26
1.282321608040200999e+03	7.115955891028400114e-27
1.357693467336683398e+03	2.091735589326336766e-26
1.433065326633165796e+03	6.168054997358110111e-32
1.508437185929648194e+03	1.734985958258241219e-29
1.583809045226130593e+03	1.047386322164122341e-25
1.659180904522612991e+03	1.914607427994384907e-28
1.734552763819095389e+03	2.556687660493392399e-29
1.809924623115578015e+03	4.811242816195002706e-28
1.885296482412060413e+03	6.018083164136519847e-29
1.960668341708542812e+03	6.639057858605676417e-31
2.036040201005025210e+03	9.268146403374951450e-31
2.111412060301507609e+03	7.954329652850845447e-30
2.186783919597990007e+03	5.965393870002725815e-29
2.262155778894472405e+03	5.507178565507681252e-30
2.337527638190954804e+03	1.127493892474734474e-29
2.412899497487437202e+03	1.247510862494240684e-30
2.488271356783919600e+03	2.251155600614256982e-29
2.563643216080401999e+03	1.115809367219316268e-30
2.639015075376884397e+03	1.787700526446967202e-31
2.714386934673366795e+03	9.680173028818304975e-32
2.789758793969849194e+03	1.907421847097620066e-31
2.865130653266331592e+03	5.375022564024094178e-32
2.940502512562813990e+03	5.611393492991277380e-32
3.015874371859296389e+03	2.680279033877017933e-31
3.091246231155778787e+03	5.253211270153581441e-30
3.166618090452261185e+03	1.385743800839892492e-30
3.241989949748743584e+03	1.248560795282791510e-31
3.317361809045225982e+03	5.199395194576650452e-32
3.392733668341708380e+03	4.178198952648497221e-32
3.468105527638190779e+03	4.321871831856771843e-32
3.543477386934673177e+03	6.460060675429396506e-32
3.618849246231156030e+03	9.660668615641090906e-32
3.694221105527638429e+03	2.442832757841324260e-31
3.769592964824120827e+03	4.448308905709215030e-29
3.844964824120603225e+03	3.611941964792285774e-31
3.920336683417085624e+03	8.857922327809606177e-32
3.995708542713568022e+03	4.152896472228857338e-32
4.071080402010050420e+03	2.539263925056341594e-32
4.146452261306532819e+03	1.151981550681526841e-32
4.221824120603015217e+03	2.307350815815098592e-32
4.297195979899497615e+03	1.706635635136625774e-32
4.372567839195980014e+03	1.563677986005266439e-32
4.447939698492462412e+03	2.261253121689452848e-32
4.523311557788944810e+03	1.668507059395912360e-32
4.598683417085427209e+03	5.840036738984786782e-32
4.674055276381909607e+03	4.452941573970244960e-31
4.749427135678392006e+03	1.317281620267537713e-29
4.824798994974874404e+03	3.918571006287382967e-31
4.900170854271356802e+03	5.622802497362658955e-32
4.975542713567839201e+03	1.966066866653229439e-32
5.050914572864321599e+03	9.419911902033740700e-33
5.126286432160803997e+03	5.122278859772673643e-33
5.201658291457286396e+03	3.474708109711670440e-33
5.277030150753768794e+03	2.124792875097107631e-33
5.352402010050251192e+03	1.373463347148186239e-33
5.427773869346733591e+03	1.011268582317950065e-33
