# radius 	V_nucl, eV
1.180000000000000052e-05	-6.714809357107970573e+04
1.569999999999999876e-05	-6.714805421166165615e+04
1.959999999999999869e-05	-6.714858187342761084e+04
2.349999999999999862e-05	-6.714903266220192017e+04
2.739999999999999855e-05	-6.714898017709441774e+04
3.139999999999999752e-05	-6.714688509932083252e+04
3.529999999999999745e-05	-6.714614300960394030e+04
3.919999999999999738e-05	-6.714374419566377765e+04
4.309999999999999731e-05	-6.714230975317989942e+04
4.709999999999999967e-05	-6.714180560138556757e+04
5.099999999999999960e-05	-6.714064245588380436e+04
5.489999999999999953e-05	-6.713958529463561717e+04
5.879999999999999946e-05	-6.713818211137843900e+04
6.270000000000000616e-05	-6.713670167538891837e+04
6.669999999999999497e-05	-6.713417690184446110e+04
7.059999999999999490e-05	-6.713369962152109656e+04
7.449999999999999483e-05	-6.713136797992810898e+04
7.839999999999999476e-05	-6.712983005574483832e+04
8.229999999999999469e-05	-6.712851274464097514e+04
8.629999999999999705e-05	-6.712532365133948042e+04
9.019999999999999698e-05	-6.712256973733953782e+04
9.409999999999999691e-05	-6.711914193672803231e+04
9.799999999999999684e-05	-6.711714430240949150e+04
1.019999999999999992e-04	-6.711510542525403434e+04
1.060000000000000016e-04	-6.711000721666293975e+04
1.100000000000000039e-04	-6.710871941495069768e+04
1.140000000000000063e-04	-6.710344726977820392e+04
1.179999999999999951e-04	-6.710018882424022013e+04
1.219999999999999974e-04	-6.709788652891019592e+04
1.250000000000000026e-04	-6.709680248180554190e+04
1.289999999999999914e-04	-6.709074552766497072e+04
1.330000000000000073e-04	-6.708286655346806219e+04
1.369999999999999961e-04	-6.708283127165283076e+04
1.410000000000000120e-04	-6.707868428932402458e+04
1.450000000000000009e-04	-6.707457197055737197e+04
1.489999999999999897e-04	-6.707021282506230636e+04
1.530000000000000056e-04	-6.706556032933897222e+04
1.569999999999999944e-04	-6.706113646630292351e+04
1.610000000000000103e-04	-6.705617620200201054e+04
1.649999999999999991e-04	-6.705358261456288164e+04
1.689999999999999879e-04	-6.704630299959381227e+04
1.730000000000000038e-04	-6.704153359792495030e+04
1.759999999999999954e-04	-6.703850037728744792e+04
1.800000000000000113e-04	-6.703209357294967049e+04
1.840000000000000001e-04	-6.702653324929518567e+04
1.879999999999999890e-04	-6.702099418377717666e+04
1.920000000000000049e-04	-6.701533760079961212e+04
1.959999999999999937e-04	-6.700943182578902633e+04
2.000000000000000096e-04	-6.700286131354092504e+04
2.039999999999999984e-04	-6.699613162477515289e+04
2.079999999999999872e-04	-6.699141305809146434e+04
2.120000000000000031e-04	-6.698502563299657777e+04
2.159999999999999919e-04	-6.697865874737432750e+04
2.200000000000000078e-04	-6.697240356564178364e+04
2.239999999999999966e-04	-6.696525392257972271e+04
2.269999999999999882e-04	-6.696016421552540851e+04
2.310000000000000042e-04	-6.695313304443181551e+04
2.349999999999999930e-04	-6.694298668596344942e+04
2.429999999999999977e-04	-6.692952721556343022e+04
2.509999999999999753e-04	-6.691852691431062703e+04
2.590000000000000071e-04	-6.690502818820971879e+04
2.669999999999999847e-04	-6.689129412785467866e+04
2.739999999999999923e-04	-6.687959076070004085e+04
2.820000000000000241e-04	-6.687237992092402419e+04
2.900000000000000017e-04	-6.685845523598727596e+04
2.979999999999999793e-04	-6.683868311499868287e+04
3.060000000000000111e-04	-6.682700706339972385e+04
3.139999999999999888e-04	-6.681353559341949585e+04
3.220000000000000206e-04	-6.680081070321712468e+04
3.289999999999999739e-04	-6.678949883519452123e+04
3.370000000000000057e-04	-6.677605548932982492e+04
3.449999999999999833e-04	-6.676222984204163367e+04
3.530000000000000152e-04	-6.675076285799777543e+04
3.609999999999999928e-04	-6.673609089946963650e+04
3.690000000000000246e-04	-6.672338991308193363e+04
3.759999999999999779e-04	-6.671072725541754335e+04
3.840000000000000097e-04	-6.669735164000846271e+04
3.919999999999999873e-04	-6.668384367634724185e+04
4.000000000000000192e-04	-6.666987976859972696e+04
4.079999999999999968e-04	-6.665410051114055386e+04
4.159999999999999744e-04	-6.663840651085069112e+04
4.229999999999999819e-04	-6.662488986240640224e+04
4.310000000000000137e-04	-6.661435713673799182e+04
4.389999999999999914e-04	-6.659974863975218614e+04
4.470000000000000232e-04	-6.658532045986306912e+04
4.550000000000000008e-04	-6.657058278773784696e+04
4.629999999999999784e-04	-6.655559047080768505e+04
4.710000000000000102e-04	-6.654048123810887046e+04
4.780000000000000178e-04	-6.652669262840374722e+04
4.859999999999999954e-04	-6.651152792969781149e+04
4.939999999999999730e-04	-6.649473596270594862e+04
5.019999999999999506e-04	-6.648049188534964924e+04
5.100000000000000366e-04	-6.646458713583771896e+04
5.180000000000000143e-04	-6.644797949532173516e+04
5.249999999999999676e-04	-6.643239320038129517e+04
5.330000000000000536e-04	-6.641758232335059438e+04
5.410000000000000312e-04	-6.640111354051192757e+04
5.490000000000000088e-04	-6.638466449252990424e+04
5.569999999999999864e-04	-6.636669420508600888e+04
5.649999999999999641e-04	-6.635048246830624703e+04
5.720000000000000258e-04	-6.633537078222751734e+04
5.800000000000000034e-04	-6.631770270417585562e+04
5.879999999999999810e-04	-6.629776304722632631e+04
5.959999999999999586e-04	-6.628102499994322716e+04
6.040000000000000447e-04	-6.626473951049891184e+04
6.120000000000000223e-04	-6.624643797891552094e+04
6.199999999999999999e-04	-6.622780622079827299e+04
6.269999999999999532e-04	-6.621342808118993707e+04
6.350000000000000392e-04	-6.619454030635855452e+04
6.430000000000000169e-04	-6.617494628585044120e+04
6.509999999999999945e-04	-6.615605635704955785e+04
6.589999999999999721e-04	-6.613660503477950988e+04
6.669999999999999497e-04	-6.611715370851654734e+04
6.740000000000000114e-04	-6.610003216600810993e+04
6.819999999999999890e-04	-6.608038540398248006e+04
6.899999999999999667e-04	-6.606008173331953003e+04
6.980000000000000527e-04	-6.603980114026294905e+04
7.060000000000000303e-04	-6.602002944779465906e+04
7.219999999999999855e-04	-6.597964925379444321e+04
7.370000000000000249e-04	-6.594234991884182091e+04
7.529999999999999801e-04	-6.590304425951663870e+04
7.690000000000000438e-04	-6.586377470671682386e+04
7.839999999999999747e-04	-6.582754064971007756e+04
8.000000000000000383e-04	-6.578865243376827857e+04
8.159999999999999936e-04	-6.575065802091917431e+04
8.310000000000000329e-04	-6.571533141416645958e+04
8.469999999999999881e-04	-6.567882456872760667e+04
8.630000000000000518e-04	-6.563962516276490351e+04
8.779999999999999827e-04	-6.560205223687925900e+04
8.940000000000000464e-04	-6.556694453464637627e+04
9.100000000000000016e-04	-6.553273846641441924e+04
9.250000000000000409e-04	-6.549607500033755059e+04
9.409999999999999962e-04	-6.545817962960177829e+04
9.569999999999999514e-04	-6.542159322264262300e+04
9.719999999999999907e-04	-6.538547524523457105e+04
9.879999999999999460e-04	-6.535049038064775232e+04
1.000000000000000021e-03	-6.532061471146973054e+04
1.020000000000000073e-03	-6.527482728884572134e+04
1.039999999999999909e-03	-6.522646065903092676e+04
1.049999999999999935e-03	-6.520547663669487520e+04
1.069999999999999988e-03	-6.515890288791034982e+04
1.080000000000000014e-03	-6.513540088165155612e+04
1.100000000000000066e-03	-6.508820352003849257e+04
1.110000000000000092e-03	-6.506477210521191591e+04
1.129999999999999928e-03	-6.501774367647875624e+04
1.139999999999999954e-03	-6.499346165288380871e+04
1.160000000000000007e-03	-6.494525050954949256e+04
1.180000000000000059e-03	-6.489722762492454058e+04
1.190000000000000085e-03	-6.487387494294259523e+04
1.209999999999999921e-03	-6.482602243965648086e+04
1.219999999999999947e-03	-6.480119972774395137e+04
1.240000000000000000e-03	-6.475302951796627895e+04
1.250000000000000026e-03	-6.472787891817962372e+04
1.270000000000000078e-03	-6.467773356644526211e+04
1.289999999999999914e-03	-6.462969384356390947e+04
1.299999999999999940e-03	-6.460487547120234376e+04
1.319999999999999993e-03	-6.455558902624597249e+04
1.330000000000000019e-03	-6.453073108705410414e+04
1.350000000000000071e-03	-6.447976694763078558e+04
1.360000000000000098e-03	-6.445451420970643085e+04
1.379999999999999933e-03	-6.440304546324499825e+04
1.399999999999999986e-03	-6.435229782720514049e+04
1.410000000000000012e-03	-6.432693812036957388e+04
1.430000000000000064e-03	-6.427505926745725446e+04
1.440000000000000091e-03	-6.424848704611944413e+04
1.459999999999999926e-03	-6.419579593036138249e+04
1.469999999999999953e-03	-6.416934720018929511e+04
1.490000000000000005e-03	-6.411543779077871295e+04
1.510000000000000057e-03	-6.406352910841338598e+04
1.520000000000000084e-03	-6.403664688034438586e+04
1.539999999999999919e-03	-6.398343936055708036e+04
1.549999999999999946e-03	-6.395558210010766197e+04
1.569999999999999998e-03	-6.390105650793913810e+04
1.580000000000000024e-03	-6.387391605407436145e+04
1.600000000000000077e-03	-6.381838292598391854e+04
1.619999999999999912e-03	-6.376288556072015490e+04
1.629999999999999939e-03	-6.373480074957708712e+04
1.649999999999999991e-03	-6.367865520699050103e+04
1.680000000000000070e-03	-6.359532988217850652e+04
1.709999999999999932e-03	-6.351289348963837256e+04
1.740000000000000010e-03	-6.342886206104142184e+04
1.770000000000000089e-03	-6.334913461985003960e+04
1.799999999999999951e-03	-6.326880614704090840e+04
1.840000000000000056e-03	-6.316098298656201951e+04
1.869999999999999917e-03	-6.308417358910400799e+04
1.899999999999999996e-03	-6.300597521375487122e+04
1.930000000000000075e-03	-6.292779173660428205e+04
1.959999999999999937e-03	-6.285139417000242975e+04
1.990000000000000015e-03	-6.277261625982804981e+04
2.020000000000000094e-03	-6.269631280851919291e+04
2.050000000000000173e-03	-6.262156690389772120e+04
2.089999999999999844e-03	-6.252431485973912640e+04
2.119999999999999923e-03	-6.244495675653478247e+04
2.150000000000000001e-03	-6.237026411138039111e+04
2.180000000000000080e-03	-6.229414709452609532e+04
2.210000000000000159e-03	-6.222029229352890979e+04
2.239999999999999804e-03	-6.214611058409488760e+04
2.269999999999999882e-03	-6.207031252979858255e+04
2.309999999999999987e-03	-6.197445638556757331e+04
2.340000000000000066e-03	-6.189895740967577149e+04
2.370000000000000145e-03	-6.182865665676024946e+04
2.399999999999999790e-03	-6.174921011667093262e+04
2.429999999999999868e-03	-6.167530364821317926e+04
2.459999999999999947e-03	-6.160102472470309294e+04
2.490000000000000026e-03	-6.152725649972746032e+04
