# radius 	V_nucl, eV
1.180000000000000052e-05	-6.690253531506555737e+04
1.569999999999999876e-05	-6.690249567892542109e+04
1.959999999999999869e-05	-6.690302356437638809e+04
2.349999999999999862e-05	-6.690253304061487142e+04
2.739999999999999855e-05	-6.690342239430054906e+04
3.139999999999999752e-05	-6.690132692640133610e+04
3.529999999999999745e-05	-6.690058446768450085e+04
3.919999999999999738e-05	-6.689830656664201524e+04
4.309999999999999731e-05	-6.689675286563741975e+04
4.709999999999999967e-05	-6.689624877874214144e+04
5.099999999999999960e-05	-6.689508612945351342e+04
5.489999999999999953e-05	-6.689402829565695720e+04
5.879999999999999946e-05	-6.689262507473978621e+04
6.270000000000000616e-05	-6.689114457868678437e+04
6.669999999999999497e-05	-6.688861970277703949e+04
7.059999999999999490e-05	-6.688814219349017367e+04
7.449999999999999483e-05	-6.688581091224486590e+04
7.839999999999999476e-05	-6.688427228994456527e+04
8.229999999999999469e-05	-6.688295452840489452e+04
8.629999999999999705e-05	-6.687976185557238932e+04
9.019999999999999698e-05	-6.687700790051255899e+04
9.409999999999999691e-05	-6.687358463312548702e+04
9.799999999999999684e-05	-6.687158658214802563e+04
1.019999999999999992e-04	-6.686954766443413973e+04
1.060000000000000016e-04	-6.686444949354596611e+04
1.100000000000000039e-04	-6.686316557644619024e+04
1.140000000000000063e-04	-6.685788905402943783e+04
1.179999999999999951e-04	-6.685599292737827636e+04
1.219999999999999974e-04	-6.685232862150455185e+04
1.250000000000000026e-04	-6.685124394601857057e+04
1.289999999999999914e-04	-6.684518781038536690e+04
1.330000000000000073e-04	-6.683730845406916342e+04
1.369999999999999961e-04	-6.683727368031493097e+04
1.410000000000000120e-04	-6.683312660146658891e+04
1.450000000000000009e-04	-6.682813032093091169e+04
1.489999999999999897e-04	-6.682465503000924946e+04
1.530000000000000056e-04	-6.682000255707684846e+04
1.569999999999999944e-04	-6.681557879631467222e+04
1.610000000000000103e-04	-6.681061847495877009e+04
1.649999999999999991e-04	-6.680802411751783802e+04
1.689999999999999879e-04	-6.680074530952164787e+04
1.730000000000000038e-04	-6.679597585928610351e+04
1.759999999999999954e-04	-6.679294235429989931e+04
1.800000000000000113e-04	-6.678653570447665697e+04
1.840000000000000001e-04	-6.678097545427588921e+04
1.879999999999999890e-04	-6.677543644511057937e+04
1.920000000000000049e-04	-6.676977978952181002e+04
1.959999999999999937e-04	-6.676382069737259008e+04
2.000000000000000096e-04	-6.675730385356942134e+04
2.039999999999999984e-04	-6.675057400497062190e+04
2.079999999999999872e-04	-6.674585495622386225e+04
2.120000000000000031e-04	-6.673946298163606843e+04
2.159999999999999919e-04	-6.673310045203656773e+04
2.200000000000000078e-04	-6.672684503542109451e+04
2.239999999999999966e-04	-6.671961503713305865e+04
2.269999999999999882e-04	-6.671460581206971256e+04
2.310000000000000042e-04	-6.670757483772517298e+04
2.349999999999999930e-04	-6.669742975434815162e+04
2.429999999999999977e-04	-6.668396895656861307e+04
2.509999999999999753e-04	-6.667296916041757504e+04
2.590000000000000071e-04	-6.665947037656056636e+04
2.669999999999999847e-04	-6.664573620302054042e+04
2.739999999999999923e-04	-6.663403289426286938e+04
2.820000000000000241e-04	-6.662682360011152923e+04
2.900000000000000017e-04	-6.661289499695338600e+04
2.979999999999999793e-04	-6.659510927578699193e+04
