# radius 	V_nucl, eV
1.180000000000000052e-05	-8.270288393521825128e+03
1.569999999999999876e-05	-8.270455483929956245e+03
1.959999999999999869e-05	-8.270438352994471643e+03
2.349999999999999862e-05	-8.270371589096776006e+03
2.739999999999999855e-05	-8.270260161671872993e+03
3.139999999999999752e-05	-8.270194920684352837e+03
3.529999999999999745e-05	-8.270080570643345709e+03
3.919999999999999738e-05	-8.269889034721123608e+03
4.309999999999999731e-05	-8.269765989266008546e+03
4.709999999999999967e-05	-8.269820727499645727e+03
5.099999999999999960e-05	-8.269527767209388912e+03
5.489999999999999953e-05	-8.269422543955059155e+03
5.879999999999999946e-05	-8.269271868106308830e+03
6.270000000000000616e-05	-8.269112129668621492e+03
6.669999999999999497e-05	-8.268810413838580644e+03
7.059999999999999490e-05	-8.268776461820982149e+03
7.449999999999999483e-05	-8.268515600505650582e+03
7.839999999999999476e-05	-8.268279975711782754e+03
8.229999999999999469e-05	-8.268055151686932732e+03
8.629999999999999705e-05	-8.267829022151494428e+03
9.019999999999999698e-05	-8.267524520121289243e+03
9.409999999999999691e-05	-8.267029073296518618e+03
9.799999999999999684e-05	-8.266930743013994288e+03
1.019999999999999992e-04	-8.266697348036033873e+03
1.060000000000000016e-04	-8.266119932977693679e+03
1.100000000000000039e-04	-8.265907335524960217e+03
1.140000000000000063e-04	-8.265528288176550632e+03
1.179999999999999951e-04	-8.265180521500118630e+03
1.219999999999999974e-04	-8.264772245199856116e+03
1.250000000000000026e-04	-8.264462246062656050e+03
1.289999999999999914e-04	-8.263970397262270126e+03
1.330000000000000073e-04	-8.263086263582803440e+03
1.369999999999999961e-04	-8.263148007026115010e+03
1.410000000000000120e-04	-8.262650988234534452e+03
1.450000000000000009e-04	-8.262148633566112039e+03
1.489999999999999897e-04	-8.262407658992700817e+03
1.530000000000000056e-04	-8.261179803189128506e+03
1.569999999999999944e-04	-8.260687382075473579e+03
1.610000000000000103e-04	-8.260127567580886534e+03
1.649999999999999991e-04	-8.259831627805857352e+03
1.689999999999999879e-04	-8.259019769535751038e+03
1.730000000000000038e-04	-8.258650332757688375e+03
1.759999999999999954e-04	-8.258070764649924968e+03
1.800000000000000113e-04	-8.257418903207697440e+03
1.840000000000000001e-04	-8.256807324542387505e+03
1.879999999999999890e-04	-8.256209449548492557e+03
1.920000000000000049e-04	-8.255562245564731711e+03
1.959999999999999937e-04	-8.254901064399622555e+03
2.000000000000000096e-04	-8.254191095937450882e+03
2.039999999999999984e-04	-8.253394956163887400e+03
2.079999999999999872e-04	-8.252910394611872107e+03
2.120000000000000031e-04	-8.252200459660143679e+03
2.159999999999999919e-04	-8.251493023519662529e+03
2.200000000000000078e-04	-8.250786464074886680e+03
2.239999999999999966e-04	-8.249982692414316261e+03
2.269999999999999882e-04	-8.249399258968414870e+03
2.310000000000000042e-04	-8.248668007011383452e+03
2.349999999999999930e-04	-8.247694147238296864e+03
2.429999999999999977e-04	-8.246010919663100140e+03
2.509999999999999753e-04	-8.244778644604813962e+03
2.590000000000000071e-04	-8.243260469863767867e+03
2.669999999999999847e-04	-8.241750508618120875e+03
2.739999999999999923e-04	-8.240446309541774099e+03
2.820000000000000241e-04	-8.239942163937768782e+03
2.900000000000000017e-04	-8.237578218779597591e+03
2.979999999999999793e-04	-8.236107386461195347e+03
3.060000000000000111e-04	-8.234592940219192315e+03
3.139999999999999888e-04	-8.233061769922835083e+03
3.220000000000000206e-04	-8.231680550070648678e+03
3.289999999999999739e-04	-8.230407437995741930e+03
3.370000000000000057e-04	-8.228693744892363611e+03
3.449999999999999833e-04	-8.227426825463313435e+03
3.530000000000000152e-04	-8.225984666340609692e+03
3.609999999999999928e-04	-8.224465839556602077e+03
3.690000000000000246e-04	-8.223048831783205969e+03
3.759999999999999779e-04	-8.221631370951301506e+03
3.840000000000000097e-04	-8.220102812723660463e+03
3.919999999999999873e-04	-8.218632145288915126e+03
4.000000000000000192e-04	-8.217089337700186661e+03
4.079999999999999968e-04	-8.215307711301844392e+03
4.159999999999999744e-04	-8.213819855406765782e+03
4.229999999999999819e-04	-8.212462790658661106e+03
4.310000000000000137e-04	-8.210844548371536803e+03
4.389999999999999914e-04	-8.209249530788129050e+03
4.470000000000000232e-04	-8.207643918661631687e+03
4.550000000000000008e-04	-8.206022297004743450e+03
4.629999999999999784e-04	-8.204344583267638882e+03
4.710000000000000102e-04	-8.202667646619405787e+03
4.780000000000000178e-04	-8.201111657056600961e+03
4.859999999999999954e-04	-8.199436740275637931e+03
4.939999999999999730e-04	-8.197564011440343165e+03
5.019999999999999506e-04	-8.195977661708486266e+03
5.100000000000000366e-04	-8.194222477405544851e+03
5.180000000000000143e-04	-8.192179441376336399e+03
5.249999999999999676e-04	-8.190624851048059099e+03
5.330000000000000536e-04	-8.189156279181788705e+03
5.410000000000000312e-04	-8.187791594591492867e+03
5.490000000000000088e-04	-8.185940979359917947e+03
5.569999999999999864e-04	-8.183552861631987980e+03
5.649999999999999641e-04	-8.181481764288128034e+03
5.720000000000000258e-04	-8.179805214881359461e+03
5.800000000000000034e-04	-8.177863368742016974e+03
5.879999999999999810e-04	-8.175746388195795589e+03
5.959999999999999586e-04	-8.173728752884555433e+03
6.040000000000000447e-04	-8.171914802261539080e+03
6.120000000000000223e-04	-8.169913045662302466e+03
6.199999999999999999e-04	-8.167875698550256857e+03
6.269999999999999532e-04	-8.166113152892889048e+03
6.350000000000000392e-04	-8.164011054954597967e+03
6.430000000000000169e-04	-8.161908024095546352e+03
6.509999999999999945e-04	-8.159828336264065001e+03
6.589999999999999721e-04	-8.157662476267935745e+03
6.669999999999999497e-04	-8.155491779006191791e+03
6.740000000000000114e-04	-8.153579142443701130e+03
6.819999999999999890e-04	-8.151389663293194644e+03
6.899999999999999667e-04	-8.149109767426125472e+03
6.980000000000000527e-04	-8.146891234780910963e+03
7.060000000000000303e-04	-8.144656992007216104e+03
7.219999999999999855e-04	-8.140159746352095681e+03
7.370000000000000249e-04	-8.136009918462357746e+03
7.529999999999999801e-04	-8.131612880372957079e+03
7.690000000000000438e-04	-8.127254867358828051e+03
7.839999999999999747e-04	-8.123199433272767237e+03
8.000000000000000383e-04	-8.118848006848097612e+03
8.159999999999999936e-04	-8.114683940607108525e+03
8.310000000000000329e-04	-8.110690582746939981e+03
8.469999999999999881e-04	-8.106471265792178201e+03
8.630000000000000518e-04	-8.102288569705229747e+03
8.779999999999999827e-04	-8.098049303482325740e+03
8.940000000000000464e-04	-8.094122966258979432e+03
9.100000000000000016e-04	-8.090017889833867230e+03
9.250000000000000409e-04	-8.086230790895022437e+03
9.409999999999999962e-04	-8.082032036656089076e+03
9.569999999999999514e-04	-8.077901719724787654e+03
9.719999999999999907e-04	-8.073960495838228780e+03
9.879999999999999460e-04	-8.069912218733652480e+03
1.000000000000000021e-03	-8.066842961990420918e+03
1.020000000000000073e-03	-8.061557984366458186e+03
1.039999999999999909e-03	-8.056182986476736005e+03
1.049999999999999935e-03	-8.053846120256343966e+03
1.069999999999999988e-03	-8.048656111799685277e+03
1.080000000000000014e-03	-8.046033715691877660e+03
1.100000000000000066e-03	-8.040754331371355875e+03
1.110000000000000092e-03	-8.038152275589864985e+03
1.129999999999999928e-03	-8.032907770620629890e+03
1.139999999999999954e-03	-8.030148358625363471e+03
1.160000000000000007e-03	-8.024720096073794593e+03
1.180000000000000059e-03	-8.019608363846008615e+03
1.190000000000000085e-03	-8.016794455754083174e+03
1.209999999999999921e-03	-8.011695239011920421e+03
1.219999999999999947e-03	-8.009135697235201405e+03
1.240000000000000000e-03	-8.003400881961283631e+03
1.250000000000000026e-03	-8.000596899429843688e+03
1.270000000000000078e-03	-7.995005095290989630e+03
1.289999999999999914e-03	-7.990068463433339275e+03
1.299999999999999940e-03	-7.986955957848038452e+03
1.319999999999999993e-03	-7.981415863096330213e+03
1.330000000000000019e-03	-7.978600229976823357e+03
1.350000000000000071e-03	-7.972406147122074799e+03
1.360000000000000098e-03	-7.969519972033889644e+03
1.379999999999999933e-03	-7.964435890701043718e+03
1.399999999999999986e-03	-7.958752460948802764e+03
1.410000000000000012e-03	-7.955912979820923283e+03
1.430000000000000064e-03	-7.950148862605285103e+03
1.440000000000000091e-03	-7.947160452152601465e+03
1.459999999999999926e-03	-7.941658181072041771e+03
1.469999999999999953e-03	-7.938348824494390101e+03
1.490000000000000005e-03	-7.932481685431346705e+03
1.510000000000000057e-03	-7.926553268217809091e+03
1.520000000000000084e-03	-7.923564442311684616e+03
1.539999999999999919e-03	-7.917509680889533229e+03
1.549999999999999946e-03	-7.914529535351705817e+03
1.569999999999999998e-03	-7.908461125389079825e+03
1.580000000000000024e-03	-7.905428864930559030e+03
1.600000000000000077e-03	-7.899241537404095652e+03
1.619999999999999912e-03	-7.893056179247014370e+03
1.629999999999999939e-03	-7.889928656168312045e+03
1.649999999999999991e-03	-7.883673080825115903e+03
1.680000000000000070e-03	-7.874387116782802877e+03
1.709999999999999932e-03	-7.865124148175369555e+03
1.740000000000000010e-03	-7.855886296469475383e+03
1.770000000000000089e-03	-7.846902065632429185e+03
1.799999999999999951e-03	-7.838001168657534436e+03
1.840000000000000056e-03	-7.825991982970746903e+03
1.869999999999999917e-03	-7.817179088855787995e+03
1.899999999999999996e-03	-7.808730045660033284e+03
1.930000000000000075e-03	-7.800024990609993438e+03
1.959999999999999937e-03	-7.791728680986694599e+03
1.990000000000000015e-03	-7.782883904542923119e+03
2.020000000000000094e-03	-7.774264806860300268e+03
2.050000000000000173e-03	-7.765906387333752718e+03
2.089999999999999844e-03	-7.754806508178242439e+03
2.119999999999999923e-03	-7.746209805796735964e+03
2.150000000000000001e-03	-7.737942928304876659e+03
2.180000000000000080e-03	-7.729446039892877707e+03
2.210000000000000159e-03	-7.721221058926415026e+03
2.239999999999999804e-03	-7.713005778989346254e+03
2.269999999999999882e-03	-7.704149453594863189e+03
2.309999999999999987e-03	-7.693385196789936344e+03
2.340000000000000066e-03	-7.685312388452027335e+03
2.370000000000000145e-03	-7.677865556282751641e+03
2.399999999999999790e-03	-7.669209741265842240e+03
2.429999999999999868e-03	-7.660523080647692041e+03
2.459999999999999947e-03	-7.652245898516135640e+03
2.490000000000000026e-03	-7.643962322266972478e+03
2.530000000000000131e-03	-7.632920570638275422e+03
2.560000000000000209e-03	-7.624707806574069764e+03
2.589999999999999854e-03	-7.616417450102405382e+03
2.619999999999999933e-03	-7.608131463329418693e+03
2.650000000000000012e-03	-7.599807701844191797e+03
2.680000000000000090e-03	-7.591430817015579123e+03
2.710000000000000169e-03	-7.583068887112724042e+03
2.739999999999999814e-03	-7.574653847609303739e+03
2.779999999999999919e-03	-7.563528408862163815e+03
2.809999999999999998e-03	-7.555025333769146528e+03
2.840000000000000076e-03	-7.546839927769756287e+03
2.870000000000000155e-03	-7.538316092085874516e+03
2.899999999999999800e-03	-7.529836758158005978e+03
2.929999999999999879e-03	-7.521601681837166325e+03
2.959999999999999958e-03	-7.512958962477557179e+03
3.000000000000000062e-03	-7.501508287543822007e+03
3.030000000000000141e-03	-7.492974116324655370e+03
3.059999999999999786e-03	-7.484360224865154123e+03
3.089999999999999865e-03	-7.475833870295239649e+03
3.119999999999999944e-03	-7.467291538630190189e+03
3.150000000000000022e-03	-7.458488972786376507e+03
3.180000000000000101e-03	-7.449814121464115487e+03
3.220000000000000206e-03	-7.438014553845335286e+03
3.249999999999999851e-03	-7.430148882830425464e+03
3.279999999999999930e-03	-7.420738851674588659e+03
3.310000000000000008e-03	-7.412235987796915651e+03
3.340000000000000087e-03	-7.403060669790229440e+03
3.370000000000000166e-03	-7.394252734219448030e+03
3.399999999999999811e-03	-7.385276580259032926e+03
3.429999999999999889e-03	-7.376323968597543171e+03
3.469999999999999994e-03	-7.364384233860989298e+03
3.500000000000000073e-03	-7.355388532075990042e+03
3.530000000000000152e-03	-7.346756650521146184e+03
3.589999999999999875e-03	-7.328319063895205545e+03
3.650000000000000033e-03	-7.310656064779215740e+03
3.720000000000000216e-03	-7.290208345153945629e+03
3.779999999999999940e-03	-7.272966256737928234e+03
3.840000000000000097e-03	-7.255853190706377063e+03
3.910000000000000281e-03	-7.236094235396221848e+03
3.969999999999999571e-03	-7.219415992227491188e+03
4.029999999999999728e-03	-7.202808956699713235e+03
4.089999999999999886e-03	-7.186381541965976794e+03
4.159999999999999636e-03	-7.167319886701185169e+03
4.219999999999999793e-03	-7.151060285850976470e+03
