# radius 	V_nucl, eV
1.180000000000000052e-05	-8.024803790745471815e+03
1.569999999999999876e-05	-8.024887195391313981e+03
1.959999999999999869e-05	-8.024879462567202609e+03
2.349999999999999862e-05	-8.024813271013473241e+03
2.739999999999999855e-05	-8.024741143178428501e+03
3.139999999999999752e-05	-8.024222600351179608e+03
3.529999999999999745e-05	-8.024605328966160414e+03
3.919999999999999738e-05	-8.024331302570417392e+03
4.309999999999999731e-05	-8.024216271415570191e+03
4.709999999999999967e-05	-8.024111505844401108e+03
5.099999999999999960e-05	-8.023970930669367590e+03
5.489999999999999953e-05	-8.023866812012631272e+03
5.879999999999999946e-05	-8.023709748657258388e+03
6.270000000000000616e-05	-8.023545693139865762e+03
6.669999999999999497e-05	-8.023253214229834157e+03
7.059999999999999490e-05	-8.023218765308640286e+03
7.449999999999999483e-05	-8.022958289552655515e+03
7.839999999999999476e-05	-8.022789533508147542e+03
8.229999999999999469e-05	-8.022636377196203284e+03
8.629999999999999705e-05	-8.022272799742757343e+03
9.019999999999999698e-05	-8.021965755551089387e+03
9.409999999999999691e-05	-8.021473815539032330e+03
9.799999999999999684e-05	-8.021373187569061884e+03
1.019999999999999992e-04	-8.021138942517861324e+03
1.060000000000000016e-04	-8.020562347323132599e+03
1.100000000000000039e-04	-8.020349426097527612e+03
1.140000000000000063e-04	-8.019987767659961719e+03
1.179999999999999951e-04	-8.019610446717286322e+03
1.219999999999999974e-04	-8.019214547563495216e+03
1.250000000000000026e-04	-8.018903153976137219e+03
1.289999999999999914e-04	-8.018411037546711668e+03
1.330000000000000073e-04	-8.017528325977745226e+03
1.369999999999999961e-04	-8.017577552117720188e+03
1.410000000000000120e-04	-8.017092159215977517e+03
1.450000000000000009e-04	-8.016665867845214962e+03
1.489999999999999897e-04	-8.016845328037593390e+03
1.530000000000000056e-04	-8.015621806275309609e+03
1.569999999999999944e-04	-8.015129575232626848e+03
1.610000000000000103e-04	-8.014581267133691654e+03
1.649999999999999991e-04	-8.014031321803754508e+03
1.689999999999999879e-04	-8.013469726369030468e+03
1.730000000000000038e-04	-8.013092325371885636e+03
1.759999999999999954e-04	-8.012599043086282109e+03
1.800000000000000113e-04	-8.011861407890730334e+03
1.840000000000000001e-04	-8.011249593138448290e+03
1.879999999999999890e-04	-8.010651604298952407e+03
1.920000000000000049e-04	-8.010004029005834127e+03
1.959999999999999937e-04	-8.009343506123444058e+03
2.000000000000000096e-04	-8.008623214898696460e+03
2.039999999999999984e-04	-8.007827894927260786e+03
2.079999999999999872e-04	-8.007352181088839643e+03
2.120000000000000031e-04	-8.006642120098501437e+03
2.159999999999999919e-04	-8.005928537700348897e+03
2.200000000000000078e-04	-8.005228029040430556e+03
2.239999999999999966e-04	-8.004424331591351802e+03
2.269999999999999882e-04	-8.003856016078880202e+03
2.310000000000000042e-04	-8.003109741290717466e+03
2.349999999999999930e-04	-8.002138041409775724e+03
2.429999999999999977e-04	-8.000452672148347119e+03
2.509999999999999753e-04	-7.999220911745380363e+03
2.590000000000000071e-04	-7.997714205097047852e+03
2.669999999999999847e-04	-7.996192531481769947e+03
2.739999999999999923e-04	-7.994888183100095375e+03
2.820000000000000241e-04	-7.994391644554157210e+03
2.900000000000000017e-04	-7.992020272458021282e+03
2.979999999999999793e-04	-7.990549382822796360e+03
3.060000000000000111e-04	-7.989023758385636029e+03
3.139999999999999888e-04	-7.987503765463843592e+03
3.220000000000000206e-04	-7.986122507317541931e+03
3.289999999999999739e-04	-7.984824835022934167e+03
3.370000000000000057e-04	-7.983366111922447999e+03
3.449999999999999833e-04	-7.981868386007678964e+03
3.530000000000000152e-04	-7.980424736247198780e+03
3.609999999999999928e-04	-7.978907881377233934e+03
3.690000000000000246e-04	-7.977491388202713097e+03
3.759999999999999779e-04	-7.976074004929188959e+03
3.840000000000000097e-04	-7.974473371456018867e+03
3.919999999999999873e-04	-7.973076409933850300e+03
4.000000000000000192e-04	-7.971518634500333974e+03
4.079999999999999968e-04	-7.969723877323421220e+03
4.159999999999999744e-04	-7.968241258796618240e+03
4.229999999999999819e-04	-7.966881214663299033e+03
4.310000000000000137e-04	-7.965287031900426882e+03
4.389999999999999914e-04	-7.963692538751212851e+03
4.470000000000000232e-04	-7.962084892503262381e+03
4.550000000000000008e-04	-7.960459253144112154e+03
4.629999999999999784e-04	-7.958787456848052898e+03
4.710000000000000102e-04	-7.957102216019073239e+03
4.780000000000000178e-04	-7.955553902633679172e+03
4.859999999999999954e-04	-7.953878049813274629e+03
4.939999999999999730e-04	-7.952004288157921110e+03
5.019999999999999506e-04	-7.950418639547009661e+03
5.100000000000000366e-04	-7.948663402834392400e+03
5.180000000000000143e-04	-7.946797795200559449e+03
5.249999999999999676e-04	-7.945054371603613617e+03
5.330000000000000536e-04	-7.943432901090894120e+03
5.410000000000000312e-04	-7.942237752890157935e+03
5.490000000000000088e-04	-7.939689494369335080e+03
5.569999999999999864e-04	-7.937841555735642942e+03
5.649999999999999641e-04	-7.935930914635348927e+03
5.720000000000000258e-04	-7.934244879597297768e+03
5.800000000000000034e-04	-7.932305559647488735e+03
5.879999999999999810e-04	-7.930189056119247653e+03
5.959999999999999586e-04	-7.928196417293218474e+03
6.040000000000000447e-04	-7.926372941317800723e+03
6.120000000000000223e-04	-7.924336488122849914e+03
6.199999999999999999e-04	-7.922321356699730131e+03
6.269999999999999532e-04	-7.920555558496921549e+03
6.350000000000000392e-04	-7.918454944841460019e+03
6.430000000000000169e-04	-7.916350247450192001e+03
6.509999999999999945e-04	-7.914279870630811274e+03
6.589999999999999721e-04	-7.912104257408555895e+03
6.669999999999999497e-04	-7.909940755200652347e+03
6.740000000000000114e-04	-7.908021856919084712e+03
6.819999999999999890e-04	-7.905832532334235111e+03
6.899999999999999667e-04	-7.903558869205543488e+03
6.980000000000000527e-04	-7.901335995010707848e+03
7.060000000000000303e-04	-7.899100032085977546e+03
7.219999999999999855e-04	-7.894602707796308096e+03
7.370000000000000249e-04	-7.890449741460588484e+03
7.529999999999999801e-04	-7.886052066719400500e+03
7.690000000000000438e-04	-7.881696816289533672e+03
7.839999999999999747e-04	-7.877636481810132864e+03
8.000000000000000383e-04	-7.873290875265720388e+03
8.159999999999999936e-04	-7.869074391450175426e+03
8.310000000000000329e-04	-7.865075915830814665e+03
8.469999999999999881e-04	-7.860915102310268594e+03
8.630000000000000518e-04	-7.856732036864907059e+03
8.779999999999999827e-04	-7.852493170035348157e+03
8.940000000000000464e-04	-7.848566795049397115e+03
9.100000000000000016e-04	-7.844446012757163771e+03
9.250000000000000409e-04	-7.840693368580801689e+03
9.409999999999999962e-04	-7.836464447772331368e+03
9.569999999999999514e-04	-7.832331050438609054e+03
9.719999999999999907e-04	-7.828359257082277509e+03
9.879999999999999460e-04	-7.824365234246231012e+03
1.000000000000000021e-03	-7.821304090439836727e+03
1.020000000000000073e-03	-7.816001669561113886e+03
1.039999999999999909e-03	-7.810627307350563569e+03
1.049999999999999935e-03	-7.808289981775170418e+03
1.069999999999999988e-03	-7.803105472331076271e+03
1.080000000000000014e-03	-7.800472382781576925e+03
1.100000000000000066e-03	-7.795258268486990346e+03
1.110000000000000092e-03	-7.792591950586861458e+03
1.129999999999999928e-03	-7.787325441059101649e+03
1.139999999999999954e-03	-7.784673957130839881e+03
1.160000000000000007e-03	-7.779289349598710942e+03
1.180000000000000059e-03	-7.774055332439286758e+03
1.190000000000000085e-03	-7.771239432120770289e+03
1.209999999999999921e-03	-7.765979209055781212e+03
1.219999999999999947e-03	-7.763213906115633108e+03
1.240000000000000000e-03	-7.757846986456678678e+03
1.250000000000000026e-03	-7.755043534667580388e+03
1.270000000000000078e-03	-7.749452621814814847e+03
1.289999999999999914e-03	-7.744107881695827018e+03
1.299999999999999940e-03	-7.741315296610507176e+03
1.319999999999999993e-03	-7.735860848100865041e+03
1.330000000000000019e-03	-7.733069113589868721e+03
1.350000000000000071e-03	-7.726913546951663193e+03
1.360000000000000098e-03	-7.723985495794632698e+03
1.379999999999999933e-03	-7.718882979880043422e+03
1.399999999999999986e-03	-7.713072237580722685e+03
1.410000000000000012e-03	-7.710359586393494283e+03
1.430000000000000064e-03	-7.704589785060300528e+03
1.440000000000000091e-03	-7.701607457930046621e+03
1.459999999999999926e-03	-7.696117055626016736e+03
1.469999999999999953e-03	-7.692796286311890981e+03
1.490000000000000005e-03	-7.686929252517985333e+03
1.510000000000000057e-03	-7.681002724064041104e+03
