# radius 	V_nucl, eV
1.180000000000000052e-05	-4.641289520876889583e+04
1.569999999999999876e-05	-4.624250915117677505e+04
1.959999999999999869e-05	-4.602379541179490479e+04
2.349999999999999862e-05	-4.575675399062326323e+04
2.739999999999999855e-05	-4.544138488766185765e+04
3.139999999999999752e-05	-4.506772707185144827e+04
3.529999999999999745e-05	-4.465446343398257159e+04
3.919999999999999738e-05	-4.419287211432393815e+04
4.309999999999999731e-05	-4.368295311287553341e+04
4.709999999999999967e-05	-4.310975693964257516e+04
5.099999999999999960e-05	-4.250194340328669932e+04
5.489999999999999953e-05	-4.184580218514106673e+04
5.879999999999999946e-05	-4.114133328520566283e+04
6.270000000000000616e-05	-4.038853670348050218e+04
6.669999999999999497e-05	-3.956623531970727345e+04
7.059999999999999490e-05	-3.871554420307464170e+04
7.449999999999999483e-05	-3.781652540465224592e+04
7.839999999999999476e-05	-3.686917892444008612e+04
8.229999999999999469e-05	-3.587350476243816229e+04
8.629999999999999705e-05	-3.480209816812467034e+04
9.019999999999999698e-05	-3.370852947121528268e+04
9.409999999999999691e-05	-3.256663309251612372e+04
9.799999999999999684e-05	-3.137640903202719710e+04
1.019999999999999992e-04	-3.014983980672170583e+04
1.060000000000000016e-04	-2.901211000269446959e+04
1.100000000000000039e-04	-2.795712418441467162e+04
1.140000000000000063e-04	-2.697617245864573488e+04
1.179999999999999951e-04	-2.606172593462384975e+04
1.219999999999999974e-04	-2.520724311709519679e+04
1.250000000000000026e-04	-2.460226928228490942e+04
1.289999999999999914e-04	-2.383940821926832723e+04
1.330000000000000073e-04	-2.312243353598205795e+04
1.369999999999999961e-04	-2.244732598748623423e+04
1.410000000000000120e-04	-2.181052241337314626e+04
1.450000000000000009e-04	-2.120885282955595903e+04
1.489999999999999897e-04	-2.063948765292358439e+04
1.530000000000000056e-04	-2.009989320448113722e+04
1.569999999999999944e-04	-1.958779401455805055e+04
1.610000000000000103e-04	-1.910114074711561261e+04
1.649999999999999991e-04	-1.863808278960977987e+04
1.689999999999999879e-04	-1.819694473541783373e+04
1.730000000000000038e-04	-1.777620612881857596e+04
1.759999999999999954e-04	-1.747320261525917158e+04
1.800000000000000113e-04	-1.708490922380896518e+04
1.840000000000000001e-04	-1.671349815372616285e+04
1.879999999999999890e-04	-1.635789181002986152e+04
1.920000000000000049e-04	-1.601710239732090486e+04
1.959999999999999937e-04	-1.569022275655925478e+04
2.000000000000000096e-04	-1.537641830142806975e+04
2.039999999999999984e-04	-1.507491990336085291e+04
2.079999999999999872e-04	-1.478501759752699036e+04
2.120000000000000031e-04	-1.450605500134723479e+04
2.159999999999999919e-04	-1.423742435317413947e+04
2.200000000000000078e-04	-1.397856209220733581e+04
2.239999999999999966e-04	-1.372894491198934884e+04
2.269999999999999882e-04	-1.354750511139037008e+04
2.310000000000000042e-04	-1.331291627829270146e+04
2.349999999999999930e-04	-1.308631344802388958e+04
2.429999999999999977e-04	-1.265548831393256842e+04
2.509999999999999753e-04	-1.225212613659607268e+04
2.590000000000000071e-04	-1.187368208604484062e+04
2.669999999999999847e-04	-1.151791633065773021e+04
2.739999999999999923e-04	-1.122366299374311711e+04
2.820000000000000241e-04	-1.090526120668657313e+04
2.900000000000000017e-04	-1.060442641477797952e+04
2.979999999999999793e-04	-1.031974382646179220e+04
3.060000000000000111e-04	-1.004994660224056861e+04
3.139999999999999888e-04	-9.793897007279025274e+03
3.220000000000000206e-04	-9.550570373557806306e+03
3.289999999999999739e-04	-9.347366748588492555e+03
3.370000000000000057e-04	-9.125470802034462395e+03
3.449999999999999833e-04	-8.913865681987286735e+03
3.530000000000000152e-04	-8.711851728854429894e+03
3.609999999999999928e-04	-8.518791302730232928e+03
3.690000000000000246e-04	-8.334102060394618093e+03
3.759999999999999779e-04	-8.178945905014930759e+03
3.840000000000000097e-04	-8.008551198660452428e+03
3.919999999999999873e-04	-7.845111378279627388e+03
4.000000000000000192e-04	-7.688209150714034877e+03
4.079999999999999968e-04	-7.537459951680426457e+03
4.159999999999999744e-04	-7.392508798763495179e+03
4.229999999999999819e-04	-7.270174137791050271e+03
4.310000000000000137e-04	-7.135228910175438614e+03
4.389999999999999914e-04	-7.005201959648323282e+03
4.470000000000000232e-04	-6.879829217641194191e+03
4.550000000000000008e-04	-6.758865187440909722e+03
4.629999999999999784e-04	-6.642081339709749955e+03
4.710000000000000102e-04	-6.529264671519350486e+03
4.780000000000000178e-04	-6.433647824865301118e+03
4.859999999999999954e-04	-6.327744156966284208e+03
4.939999999999999730e-04	-6.225270567379785462e+03
5.019999999999999506e-04	-6.126063068298036342e+03
5.100000000000000366e-04	-6.029967961344340438e+03
5.180000000000000143e-04	-5.936841043022420308e+03
5.249999999999999676e-04	-5.857683162448788607e+03
5.330000000000000536e-04	-5.769762964888581337e+03
5.410000000000000312e-04	-5.684442994982649907e+03
5.490000000000000088e-04	-5.601609581576710298e+03
5.569999999999999864e-04	-5.521155583995716370e+03
5.649999999999999641e-04	-5.442979929709051248e+03
5.720000000000000258e-04	-5.376370035464359717e+03
5.800000000000000034e-04	-5.302213207388989758e+03
5.879999999999999810e-04	-5.230074252186418562e+03
5.959999999999999586e-04	-5.159871913230896098e+03
6.040000000000000447e-04	-5.091529238883466860e+03
6.120000000000000223e-04	-5.024973301120284304e+03
6.199999999999999999e-04	-4.960134935944538483e+03
6.269999999999999532e-04	-4.904758628844680061e+03
6.350000000000000392e-04	-4.842966394150573251e+03
6.430000000000000169e-04	-4.782711757831436444e+03
6.509999999999999945e-04	-4.723938034232894097e+03
6.589999999999999721e-04	-4.666591290266485885e+03
6.669999999999999497e-04	-4.610620180338251885e+03
6.740000000000000114e-04	-4.562735401017231197e+03
6.819999999999999890e-04	-4.509213578131399117e+03
6.899999999999999667e-04	-4.456932840993643367e+03
6.980000000000000527e-04	-4.405850516168500690e+03
7.060000000000000303e-04	-4.355925864427214947e+03
7.219999999999999855e-04	-4.259395651365116464e+03
7.370000000000000249e-04	-4.172705102151443498e+03
7.529999999999999801e-04	-4.084042045532024076e+03
7.690000000000000438e-04	-3.999068478914972275e+03
7.839999999999999747e-04	-3.922555689139813694e+03
8.000000000000000383e-04	-3.844104575357017438e+03
8.159999999999999936e-04	-3.768729975840213228e+03
8.310000000000000329e-04	-3.700702358947790344e+03
8.469999999999999881e-04	-3.630795348625282259e+03
8.630000000000000518e-04	-3.563480487005346276e+03
8.779999999999999827e-04	-3.502600979824161641e+03
8.940000000000000464e-04	-3.439914608820597095e+03
9.100000000000000016e-04	-3.379432593720454861e+03
9.250000000000000409e-04	-3.324630984092555536e+03
9.409999999999999962e-04	-3.268101658114361271e+03
9.569999999999999514e-04	-3.213462549932721231e+03
9.719999999999999907e-04	-3.163872078483142104e+03
9.879999999999999460e-04	-3.112635283689892731e+03
1.000000000000000021e-03	-3.075283660285613678e+03
1.020000000000000073e-03	-3.014983980672170219e+03
1.039999999999999909e-03	-2.957003519505398344e+03
1.049999999999999935e-03	-2.928841581224394304e+03
1.069999999999999988e-03	-2.874096878771601951e+03
1.080000000000000014e-03	-2.847484870634827530e+03
1.100000000000000066e-03	-2.795712418441466980e+03
1.110000000000000092e-03	-2.770525820077129538e+03
1.129999999999999928e-03	-2.721489964854525624e+03
1.139999999999999954e-03	-2.697617245864573761e+03
1.160000000000000007e-03	-2.651106603694494879e+03
1.180000000000000059e-03	-2.606172593462384611e+03
1.190000000000000085e-03	-2.584271983433288824e+03
1.209999999999999921e-03	-2.541556744037697626e+03
1.219999999999999947e-03	-2.520724311709519952e+03
1.240000000000000000e-03	-2.480067467972269242e+03
1.250000000000000026e-03	-2.460226928228491033e+03
1.270000000000000078e-03	-2.421483197075286625e+03
1.289999999999999914e-03	-2.383940821926832541e+03
1.299999999999999940e-03	-2.365602815604318494e+03
