# radius 	V_nucl, eV
1.000000000000000048e-04	-6.711578580011303711e+04
1.011090909090909123e-01	3.406804647312584621e+03
2.021181818181818080e-01	-6.357811445825578630e+03
3.031272727272726897e-01	-5.783366252535600506e+04
4.041363636363636269e-01	-1.510207485912789125e+05
5.051454545454545642e-01	-2.859190696435935679e+05
6.061545454545453904e-01	-4.625286256823005970e+05
7.071636363636363276e-01	-6.808494167073979042e+05
8.081727272727272648e-01	-9.408814427188932896e+05
9.091818181818182021e-01	-1.242624703716775868e+06
1.010190909090909139e+00	-1.586079199701057281e+06
1.111199999999999966e+00	-1.971244930671722395e+06
1.212209090909090792e+00	-2.398121896628775634e+06
1.313218181818181840e+00	-2.866710097572253551e+06
1.414227272727272666e+00	-3.377009533502093982e+06
1.515236363636363714e+00	-3.929020204418318346e+06
1.616245454545454541e+00	-4.522742110320943408e+06
1.717254545454545367e+00	-5.158175251209974289e+06
1.818263636363636415e+00	-5.835319627085416578e+06
1.919272727272727241e+00	-6.554175237947214395e+06
2.020281818181818512e+00	-7.314742083795423619e+06
2.121290909090909338e+00	-8.117020164630021900e+06
2.222300000000000164e+00	-8.961009480451002717e+06
2.323309090909090990e+00	-9.846710031258383766e+06
2.424318181818181817e+00	-1.077412181705215573e+07
2.525327272727273087e+00	-1.174324483783230372e+07
2.626336363636363913e+00	-1.275407909359887242e+07
2.727345454545454739e+00	-1.380662458435178548e+07
2.828354545454545566e+00	-1.490088131009113602e+07
2.929363636363636392e+00	-1.603684927081688493e+07
3.030372727272727662e+00	-1.721452846652897820e+07
3.131381818181818488e+00	-1.843391889722750336e+07
3.232390909090909314e+00	-1.969502056291240826e+07
3.333400000000000141e+00	-2.099783346358371153e+07
3.434409090909090967e+00	-2.234235759924145415e+07
3.535418181818182237e+00	-2.372859296988549456e+07
3.636427272727273063e+00	-2.515653957551598176e+07
3.737436363636363890e+00	-2.662619741613288596e+07
3.838445454545454716e+00	-2.813756649173611775e+07
3.939454545454545542e+00	-2.969064680232577026e+07
4.040463636363636368e+00	-3.128543834790184349e+07
4.141472727272726750e+00	-3.292194112846434116e+07
4.242481818181818021e+00	-3.460015514401303977e+07
4.343490909090909291e+00	-3.632008039454825968e+07
4.444499999999999673e+00	-3.808171688006986678e+07
4.545509090909090943e+00	-3.988506460057789087e+07
4.646518181818181326e+00	-4.173012355607216805e+07
4.747527272727272596e+00	-4.361689374655303359e+07
4.848536363636362978e+00	-4.554537517202015221e+07
4.949545454545454248e+00	-4.751556783247390389e+07
5.050554545454545519e+00	-4.952747172791374475e+07
5.151563636363635901e+00	-5.158108685834003985e+07
5.252572727272727171e+00	-5.367641322375286371e+07
5.353581818181817553e+00	-5.581345082415203005e+07
5.454590909090908823e+00	-5.799219965953745693e+07
5.555600000000000094e+00	-6.021265972990942001e+07
5.656609090909090476e+00	-6.247483103526764363e+07
5.757618181818181746e+00	-6.477871357561244071e+07
5.858627272727272128e+00	-6.712430735094361007e+07
5.959636363636363399e+00	-6.951161236126115918e+07
6.060645454545454669e+00	-7.194062860656486452e+07
6.161654545454545051e+00	-7.441135608685514331e+07
6.262663636363636321e+00	-7.692379480213190615e+07
6.363672727272726704e+00	-7.947794475239495933e+07
6.464681818181817974e+00	-8.207380593764457107e+07
6.565690909090909244e+00	-8.471137835788001120e+07
6.666699999999999626e+00	-8.739066201310227811e+07
6.767709090909090897e+00	-9.011165690331132710e+07
6.868718181818181279e+00	-9.287436302850623429e+07
6.969727272727272549e+00	-9.567878038868743181e+07
7.070736363636363819e+00	-9.852490898385509849e+07
7.171745454545454201e+00	-1.014127488140095025e+08
7.272754545454545472e+00	-1.043422998791501522e+08
7.373763636363635854e+00	-1.073135621792769134e+08
7.474772727272727124e+00	-1.103265357143902779e+08
7.575781818181818394e+00	-1.133812204844900817e+08
7.676790909090908777e+00	-1.164776164895762503e+08
7.777800000000000047e+00	-1.196157237296488583e+08
7.878809090909090429e+00	-1.227955422047079206e+08
7.979818181818181699e+00	-1.260170719147531688e+08
8.080827272727272970e+00	-1.292803128597848266e+08
8.181836363636364240e+00	-1.325852650398034900e+08
8.282845454545453734e+00	-1.359319284548073411e+08
8.383854545454545004e+00	-1.393203031047982275e+08
8.484863636363636274e+00	-1.427503889897758663e+08
8.585872727272727545e+00	-1.462221861097394526e+08
8.686881818181818815e+00	-1.497356944646893144e+08
8.787890909090908309e+00	-1.532909140546258092e+08
8.888899999999999579e+00	-1.568878448795487881e+08
8.989909090909090850e+00	-1.605264869394581616e+08
9.090918181818182120e+00	-1.642068402343531251e+08
9.191927272727273390e+00	-1.679289047642354369e+08
9.292936363636362884e+00	-1.716926805291039050e+08
9.393945454545454155e+00	-1.754981675289590359e+08
9.494954545454545425e+00	-1.793453657637999058e+08
9.595963636363636695e+00	-1.832342752336279154e+08
9.696972727272726189e+00	-1.871648959384410679e+08
9.797981818181817459e+00	-1.911372278782414198e+08
9.898990909090908730e+00	-1.951512710530279279e+08
1.000000000000000000e+01	-1.992070254628018737e+08
