# radius 	V_nucl, eV
1.000000000000000048e-04	-6.687022793969021586e+04
1.011090909090909123e-01	3.297734211057499124e+03
2.021181818181818080e-01	-6.963560951136219046e+03
3.031272727272726897e-01	-5.892970036759603681e+04
4.041363636363636269e-01	-1.526006840383218951e+05
5.051454545454545642e-01	-2.879765119633136201e+05
6.061545454545453904e-01	-4.650571841425721068e+05
7.071636363636363276e-01	-6.838427005760943284e+05
8.081727272727272648e-01	-9.443330612638877938e+05
9.091818181818182021e-01	-1.246528266205944354e+06
1.010190909090909139e+00	-1.590428315402276581e+06
1.111199999999999966e+00	-1.976033208852855721e+06
1.212209090909090792e+00	-2.403342946557711344e+06
1.313218181818181840e+00	-2.872357528516849037e+06
1.414227272727272666e+00	-3.383076954730232712e+06
1.515236363636363714e+00	-3.935501225197872147e+06
1.616245454545454541e+00	-4.529630339919794351e+06
1.717254545454545367e+00	-5.165464298895971850e+06
1.818263636363636415e+00	-5.843003102126452141e+06
1.919272727272727241e+00	-6.562246749611175619e+06
2.020281818181818512e+00	-7.323195241350164637e+06
2.121290909090909338e+00	-8.125848577343408018e+06
2.222300000000000164e+00	-8.970206757590925321e+06
2.323309090909090990e+00	-9.856269782092716545e+06
2.424318181818181817e+00	-1.078403765084877983e+07
2.525327272727273087e+00	-1.175351036385903694e+07
2.626336363636363913e+00	-1.276468792112363502e+07
2.727345454545454739e+00	-1.381757032264249027e+07
2.828354545454545566e+00	-1.491215756841559522e+07
2.929363636363636392e+00	-1.604844965844300389e+07
3.030372727272727662e+00	-1.722644659272463247e+07
3.131381818181818488e+00	-1.844614837126054615e+07
3.232390909090909314e+00	-1.970755499405070022e+07
3.333400000000000141e+00	-2.101066646109517291e+07
3.434409090909090967e+00	-2.235548277239392325e+07
3.535418181818182237e+00	-2.374200392794686183e+07
3.636427272727273063e+00	-2.517022992775412276e+07
3.737436363636363890e+00	-2.664016077181566134e+07
3.838445454545454716e+00	-2.815179646013140306e+07
3.939454545454545542e+00	-2.970513699270148948e+07
4.040463636363636368e+00	-3.130018236952580512e+07
4.141472727272726750e+00	-3.293693259060442448e+07
4.242481818181818021e+00	-3.461538765593712032e+07
4.343490909090909291e+00	-3.633554756552427262e+07
4.444499999999999673e+00	-3.809741231936559081e+07
4.545509090909090943e+00	-3.990098191746126115e+07
4.646518181818181326e+00	-4.174625635981108248e+07
4.747527272727272596e+00	-4.363323564641530067e+07
4.848536363636362978e+00	-4.556191977727361768e+07
4.949545454545454248e+00	-4.753230875238648057e+07
5.050554545454545519e+00	-4.954440257175337523e+07
5.151563636363635901e+00	-5.159820123537459970e+07
5.252572727272727171e+00	-5.369370474325001985e+07
5.353581818181817553e+00	-5.583091309537975490e+07
5.454590909090908823e+00	-5.800982629176387191e+07
5.555600000000000094e+00	-6.023044433240225911e+07
5.656609090909090476e+00	-6.249276721729470044e+07
5.757618181818181746e+00	-6.479679494644153863e+07
5.858627272727272128e+00	-6.714252751984266937e+07
5.959636363636363399e+00	-6.952996493749815226e+07
6.060645454545454669e+00	-7.195910719940760732e+07
6.161654545454545051e+00	-7.442995430557139218e+07
6.262663636363636321e+00	-7.694250625598968565e+07
6.363672727272726704e+00	-7.949676305066217482e+07
6.464681818181817974e+00	-8.209272468958897889e+07
6.565690909090909244e+00	-8.473039117276950181e+07
6.666699999999999626e+00	-8.740976250020484626e+07
6.767709090909090897e+00	-9.013083867189449072e+07
6.868718181818181279e+00	-9.289361968783828616e+07
6.969727272727272549e+00	-9.569810554803617299e+07
7.070736363636363819e+00	-9.854429625248850882e+07
7.171745454545454201e+00	-1.014321918011951596e+08
7.272754545454545472e+00	-1.043617921941559464e+08
7.373763636363635854e+00	-1.073330974313706905e+08
7.474772727272727124e+00	-1.103461075128401667e+08
7.575781818181818394e+00	-1.134008224385636896e+08
7.676790909090908777e+00	-1.164972422085417807e+08
7.777800000000000047e+00	-1.196353668227739036e+08
7.878809090909090429e+00	-1.228151962812602818e+08
7.979818181818181699e+00	-1.260367305840009898e+08
8.080827272727272970e+00	-1.292999697309958488e+08
8.181836363636364240e+00	-1.326049137222453654e+08
8.282845454545453734e+00	-1.359515625577484071e+08
8.383854545454545004e+00	-1.393399162375064492e+08
8.484863636363636274e+00	-1.427699747615182996e+08
8.585872727272727545e+00	-1.462417381297844350e+08
8.686881818181818815e+00	-1.497552063423052132e+08
8.787890909090908309e+00	-1.533103793990798593e+08
8.888899999999999579e+00	-1.569072573001089096e+08
8.989909090909090850e+00	-1.605458400453924537e+08
9.090918181818182120e+00	-1.642261276349295378e+08
9.191927272727273390e+00	-1.679481200687218010e+08
9.292936363636362884e+00	-1.717118173467675149e+08
9.393945454545454155e+00	-1.755172194690682292e+08
9.494954545454545425e+00	-1.793643264356231093e+08
9.595963636363636695e+00	-1.832531382464317381e+08
9.696972727272726189e+00	-1.871836549014949799e+08
9.797981818181817459e+00	-1.911558764008121490e+08
9.898990909090908730e+00	-1.951698027443838120e+08
1.000000000000000000e+01	-1.992254339322101772e+08
