# radius 	V_nucl, eV
1.000000000000000048e-04	-8.266765354135039161e+03
1.011090909090909123e-01	9.039656870268302100e+02
2.021181818181818080e-01	3.173856018595140540e+03
3.031272727272726897e-01	2.358426978045439228e+03
4.041363636363636269e-01	-1.542321434622234619e+03
5.051454545454545642e-01	-8.528389219407916244e+03
6.061545454545453904e-01	-1.859977637631156540e+04
7.071636363636363276e-01	-3.175648290533290128e+04
8.081727272727272648e-01	-4.799850880647321173e+04
9.091818181818182021e-01	-6.732585407973109977e+04
1.010190909090909139e+00	-8.973851872510797693e+04
1.111199999999999966e+00	-1.152365027426005254e+05
1.212209090909090792e+00	-1.438198061322115827e+05
1.313218181818181840e+00	-1.754884288939458202e+05
1.414227272727272666e+00	-2.102423710277927748e+05
1.515236363636363714e+00	-2.480816325337552407e+05
1.616245454545454541e+00	-2.890062134118399117e+05
1.717254545454545367e+00	-3.330161136620430043e+05
1.818263636363636415e+00	-3.801113332843660610e+05
1.919272727272727241e+00	-4.302918722788026789e+05
2.020281818181818512e+00	-4.835577306453607162e+05
2.121290909090909338e+00	-5.399089083840333624e+05
2.222300000000000164e+00	-5.993454054948264966e+05
2.323309090909090990e+00	-6.618672219777390128e+05
2.424318181818181817e+00	-7.274743578327643918e+05
2.525327272727273087e+00	-7.961668130599074066e+05
2.626336363636363913e+00	-8.679445876591746928e+05
2.727345454545454739e+00	-9.428076816305537941e+05
2.828354545454545566e+00	-1.020756094974045525e+06
2.929363636363636392e+00	-1.101789827689676546e+06
3.030372727272727662e+00	-1.185908879777400522e+06
3.131381818181818488e+00	-1.273113251237260876e+06
3.232390909090909314e+00	-1.363402942069231300e+06
3.333400000000000141e+00	-1.456777952273325296e+06
3.434409090909090967e+00	-1.553238281849548453e+06
3.535418181818182237e+00	-1.652783930797860259e+06
3.636427272727273063e+00	-1.755414899118298199e+06
3.737436363636363890e+00	-1.861131186810864601e+06
3.838445454545454716e+00	-1.969932793875547126e+06
3.939454545454545542e+00	-2.081819720312341582e+06
4.040463636363636368e+00	-2.196791966121276375e+06
4.141472727272726750e+00	-2.314849531302311923e+06
4.242481818181818021e+00	-2.435992415855446365e+06
4.343490909090909291e+00	-2.560220619780707173e+06
4.444499999999999673e+00	-2.687534143078104593e+06
4.545509090909090943e+00	-2.817932985747619998e+06
4.646518181818181326e+00	-2.951417147789214272e+06
4.747527272727272596e+00	-3.087986629202964716e+06
4.848536363636362978e+00	-3.227641429988805205e+06
4.949545454545454248e+00	-3.370381550146815833e+06
5.050554545454545519e+00	-3.516206989676867612e+06
5.151563636363635901e+00	-3.665117748579100240e+06
5.252572727272727171e+00	-3.817113826853431761e+06
5.353581818181817553e+00	-3.972195224499888252e+06
5.454590909090908823e+00	-4.130361941518423147e+06
5.555600000000000094e+00	-4.291613977909142151e+06
5.656609090909090476e+00	-4.455951333671938628e+06
5.757618181818181746e+00	-4.623374008806847967e+06
5.858627272727272128e+00	-4.793882003313895315e+06
5.959636363636363399e+00	-4.967475317193050869e+06
6.060645454545454669e+00	-5.144153950444304384e+06
6.161654545454545051e+00	-5.323917903067700565e+06
6.262663636363636321e+00	-5.506767175063218921e+06
6.363672727272726704e+00	-5.692701766430887394e+06
6.464681818181817974e+00	-5.881721677170601673e+06
6.565690909090909244e+00	-6.073826907282426022e+06
6.666699999999999626e+00	-6.269017456766442396e+06
6.767709090909090897e+00	-6.467293325622569770e+06
6.868718181818181279e+00	-6.668654513850808144e+06
6.969727272727272549e+00	-6.873101021451092325e+06
7.070736363636363819e+00	-7.080632848423483782e+06
7.171745454545454201e+00	-7.291249994768123142e+06
7.272754545454545472e+00	-7.504952460484801792e+06
7.373763636363635854e+00	-7.721740245573597029e+06
7.474772727272727124e+00	-7.941613350034557283e+06
7.575781818181818394e+00	-8.164571773867551237e+06
7.676790909090908777e+00	-8.390615517072794959e+06
7.777800000000000047e+00	-8.619744579650023952e+06
7.878809090909090429e+00	-8.851958961599411443e+06
7.979818181818181699e+00	-9.087258662920963019e+06
8.080827272727272970e+00	-9.325643683614535257e+06
8.181836363636364240e+00	-9.567114023680403829e+06
8.282845454545453734e+00	-9.811669683118188754e+06
8.383854545454545004e+00	-1.005931066192821041e+07
8.484863636363636274e+00	-1.031003696011032909e+07
8.585872727272727545e+00	-1.056384857766444236e+07
8.686881818181818815e+00	-1.082074551459077746e+07
8.787890909090908309e+00	-1.108072777088927478e+07
8.888899999999999579e+00	-1.134379534655993246e+07
8.989909090909090850e+00	-1.160994824160259031e+07
9.090918181818182120e+00	-1.187918645601737127e+07
9.191927272727273390e+00	-1.215150998980433308e+07
9.292936363636362884e+00	-1.242691884296333045e+07
9.393945454545454155e+00	-1.270541301549454592e+07
9.494954545454545425e+00	-1.298699250739775226e+07
9.595963636363636695e+00	-1.327165731867321581e+07
9.696972727272726189e+00	-1.355940744932057709e+07
9.797981818181817459e+00	-1.385024289934028313e+07
9.898990909090908730e+00	-1.414416366873200051e+07
1.000000000000000000e+01	-1.444116975749599189e+07
