# radius 	V_nucl, eV
1.000000000000000048e-04	-8.021206852670577064e+03
1.011090909090909123e-01	7.948952507717347089e+02
2.021181818181818080e-01	2.568106513284280936e+03
3.031272727272726897e-01	1.262389135804608031e+03
4.041363636363636269e-01	-3.122256881667218295e+03
5.051454545454545642e-01	-1.058583153913124079e+04
6.061545454545453904e-01	-2.112833483658754267e+04
7.071636363636363276e-01	-3.474976677403599024e+04
8.081727272727272648e-01	-5.145012735147688363e+04
9.091818181818182021e-01	-7.122941656890961167e+04
1.010190909090909139e+00	-9.408763442633586237e+04
1.111199999999999966e+00	-1.200247809237519541e+05
1.212209090909090792e+00	-1.490408560611615831e+05
1.313218181818181840e+00	-1.811358598385664227e+05
1.414227272727272666e+00	-2.163097922559611325e+05
1.515236363636363714e+00	-2.545626533133449557e+05
1.616245454545454541e+00	-2.958944430107232183e+05
1.717254545454545367e+00	-3.403051613480923115e+05
1.818263636363636415e+00	-3.877948083254604717e+05
1.919272727272727241e+00	-4.383633839428123902e+05
2.020281818181818512e+00	-4.920108882001632010e+05
2.121290909090909338e+00	-5.487373210975048132e+05
2.222300000000000164e+00	-6.085426826348365285e+05
2.323309090909090990e+00	-6.714269728121607332e+05
2.424318181818181817e+00	-7.373901916294769617e+05
2.525327272727273087e+00	-8.064323390867788112e+05
2.626336363636363913e+00	-8.785534151840835111e+05
2.727345454545454739e+00	-9.537534199213717366e+05
2.828354545454545566e+00	-1.032032353298657574e+06
2.929363636363636392e+00	-1.113390215315934969e+06
3.030372727272727662e+00	-1.197827005973210093e+06
3.131381818181818488e+00	-1.285342725270470371e+06
3.232390909090909314e+00	-1.375937373207712080e+06
3.333400000000000141e+00	-1.469610949784959434e+06
3.434409090909090967e+00	-1.566363455002220348e+06
3.535418181818182237e+00	-1.666194888859447092e+06
3.636427272727273063e+00	-1.769105251356656896e+06
3.737436363636363890e+00	-1.875094542493871413e+06
3.838445454545454716e+00	-1.984162762271080865e+06
3.939454545454545542e+00	-2.096309910688289907e+06
4.040463636363636368e+00	-2.211535987745488063e+06
4.141472727272726750e+00	-2.329840993442671373e+06
4.242481818181818021e+00	-2.451224927779830527e+06
4.343490909090909291e+00	-2.575687790757001843e+06
4.444499999999999673e+00	-2.703229582374165300e+06
4.545509090909090943e+00	-2.833850302631331608e+06
4.646518181818181326e+00	-2.967549951528448146e+06
4.747527272727272596e+00	-3.104328529065584298e+06
4.848536363636362978e+00	-3.244186035242713522e+06
4.949545454545454248e+00	-3.387122470059852581e+06
5.050554545454545519e+00	-3.533137833516929299e+06
5.151563636363635901e+00	-3.682232125614041463e+06
5.252572727272727171e+00	-3.834405346351147629e+06
5.353581818181817553e+00	-3.989657495728246402e+06
5.454590909090908823e+00	-4.147988573745306581e+06
5.555600000000000094e+00	-4.309398580402404070e+06
5.656609090909090476e+00	-4.473887515699420124e+06
5.757618181818181746e+00	-4.641455379636482336e+06
5.858627272727272128e+00	-4.812102172213557176e+06
5.959636363636363399e+00	-4.985827893430598080e+06
6.060645454545454669e+00	-5.162632543287628330e+06
6.161654545454545051e+00	-5.342516121784656309e+06
6.262663636363636321e+00	-5.525478628921680152e+06
6.363672727272726704e+00	-5.711520064698719420e+06
6.464681818181817974e+00	-5.900640429115720093e+06
6.565690909090909244e+00	-6.092839722172650509e+06
6.666699999999999626e+00	-6.288117943869683892e+06
6.767709090909090897e+00	-6.486475094206687063e+06
6.868718181818181279e+00	-6.687911173183612525e+06
6.969727272727272549e+00	-6.892426180800601840e+06
7.070736363636363819e+00	-7.100020117057522759e+06
7.171745454545454201e+00	-7.310692981954509392e+06
7.272754545454545472e+00	-7.524444775491414592e+06
7.373763636363635854e+00	-7.741275497668322176e+06
7.474772727272727124e+00	-7.961185148485282436e+06
7.575781818181818394e+00	-8.184173727942149155e+06
7.676790909090908777e+00	-8.410241236039109528e+06
7.777800000000000047e+00	-8.639387672776002437e+06
7.878809090909090429e+00	-8.871613038152961060e+06
7.979818181818181699e+00	-9.106917332169821486e+06
8.080827272727272970e+00	-9.345300554826641455e+06
8.181836363636364240e+00	-9.586762706123575568e+06
8.282845454545453734e+00	-9.831303786060420796e+06
8.383854545454545004e+00	-1.007892379463723488e+07
8.484863636363636274e+00	-1.032962273185413145e+07
8.585872727272727545e+00	-1.058340059771092609e+07
8.686881818181818815e+00	-1.084025739220776595e+07
8.787890909090908309e+00	-1.110019311534462869e+07
8.888899999999999579e+00	-1.136320776712142490e+07
8.989909090909090850e+00	-1.162930134753822349e+07
9.090918181818182120e+00	-1.189847385659499280e+07
9.191927272727273390e+00	-1.217072529429181293e+07
9.292936363636362884e+00	-1.244605566062857024e+07
9.393945454545454155e+00	-1.272446495560528710e+07
9.494954545454545425e+00	-1.300595317922202870e+07
9.595963636363636695e+00	-1.329052033147892915e+07
9.696972727272726189e+00	-1.357816641237555631e+07
9.797981818181817459e+00	-1.386889142191230878e+07
9.898990909090908730e+00	-1.416269536008905061e+07
1.000000000000000000e+01	-1.445957822690574639e+07
