# radius 	V_nucl, eV
1.000000000000000048e-04	-3.075283660285613951e+04
1.011090909090909123e-01	-3.041550104580269220e+01
2.021181818181818080e-01	-1.521527471017935262e+01
3.031272727272726897e-01	-1.014518961826468235e+01
4.041363636363636269e-01	-7.609519798254809508e+00
5.051454545454545642e-01	-6.087917118947153483e+00
6.061545454545453904e-01	-5.073431657564341002e+00
7.071636363636363276e-01	-4.348758197040900164e+00
8.081727272727272648e-01	-3.805230684613072345e+00
9.091818181818182021e-01	-3.382473778936281761e+00
1.010190909090909139e+00	-3.044259884553032425e+00
1.111199999999999966e+00	-2.767533891545729041e+00
1.212209090909090792e+00	-2.536925092666413306e+00
1.313218181818181840e+00	-2.341791868909254948e+00
1.414227272727272666e+00	-2.174532848850432742e+00
1.515236363636363714e+00	-2.029573559669163529e+00
1.616245454545454541e+00	-1.902733060524208986e+00
1.717254545454545367e+00	-1.790814104074249347e+00
1.818263636363636415e+00	-1.691329903311438621e+00
1.919272727272727241e+00	-1.602317178057112157e+00
2.020281818181818512e+00	-1.522205284732631725e+00
2.121290909090909338e+00	-1.449722735861600054e+00
2.222300000000000164e+00	-1.383829213106067435e+00
2.323309090909090990e+00	-1.323665315269042297e+00
2.424318181818181817e+00	-1.268514868778166438e+00
2.525327272727273087e+00	-1.217776283295117334e+00
2.626336363636363913e+00	-1.170940517317305085e+00
2.727345454545454739e+00	-1.127573940132988062e+00
2.828354545454545566e+00	-1.087304866084737753e+00
2.929363636363636392e+00	-1.049812874752249936e+00
3.030372727272727662e+00	-1.014820267028110790e+00
3.131381818181818488e+00	-9.820851748035067663e-01
3.232390909090909314e+00	-9.513959625478959348e-01
3.333400000000000141e+00	-9.225666467527491310e-01
3.434409090909090967e+00	-8.954331236852112186e-01
3.535418181818182237e+00	-8.698500437942727759e-01
3.636427272727273063e+00	-8.456882070349206471e-01
3.737436363636363890e+00	-8.228323805608548369e-01
3.838445454545454716e+00	-8.011794609830625857e-01
3.939454545454545542e+00	-7.806369193506658144e-01
4.040463636363636368e+00	-7.611214793788686483e-01
4.141472727272726750e+00	-7.425579891022903167e-01
4.242481818181818021e+00	-7.248784537168799780e-01
4.343490909090909291e+00	-7.080212033710160391e-01
4.444499999999999673e+00	-6.919301744370827123e-01
4.545509090909090943e+00	-6.765542866113957166e-01
4.646518181818181326e+00	-6.618469012602155033e-01
4.747527272727272596e+00	-6.477653489116200758e-01
4.848536363636362978e+00	-6.342705158096775264e-01
4.949545454545454248e+00	-6.213264810936128812e-01
5.050554545454545519e+00	-6.089001975146158818e-01
5.151563636363635901e+00	-5.969612097146455021e-01
5.252572727272727171e+00	-5.854814050109081736e-01
5.353581818181817553e+00	-5.744347923928883048e-01
5.454590909090908823e+00	-5.637973060748119325e-01
5.555600000000000094e+00	-5.535466304783667191e-01
5.656609090909090476e+00	-5.436620439669406224e-01
5.757618181818181746e+00	-5.341242790286032660e-01
5.858627272727272128e+00	-5.249153969226697525e-01
5.959636363636363399e+00	-5.160186750738567918e-01
6.060645454545454669e+00	-5.074185057268391086e-01
6.161654545454545051e+00	-4.991003045690466378e-01
6.262663636363636321e+00	-4.910504281962765338e-01
6.363672727272726704e+00	-4.832560994385997066e-01
6.464681818181817974e+00	-4.757053396868545225e-01
6.565690909090909244e+00	-4.683869074658313925e-01
6.666699999999999626e+00	-4.612902425916291516e-01
6.767709090909090897e+00	-4.544054153297712451e-01
6.868718181818181279e+00	-4.477230800393054433e-01
6.969727272727272549e+00	-4.412344328477931232e-01
7.070736363636363819e+00	-4.349311729541059934e-01
7.171745454545454201e+00	-4.288054672013628665e-01
7.272754545454545472e+00	-4.228499176020809047e-01
7.373763636363635854e+00	-4.170575315324572818e-01
7.474772727272727124e+00	-4.114216943432972284e-01
7.575781818181818394e+00	-4.059361441620397137e-01
7.676790909090908777e+00	-4.005949486840708063e-01
7.777800000000000047e+00	-3.953924837724824282e-01
7.878809090909090429e+00	-3.903234137039833795e-01
7.979818181818181699e+00	-3.853826729151011987e-01
8.080827272727272970e+00	-3.805654491174030873e-01
8.181836363636364240e+00	-3.758671676634246506e-01
8.282845454545453734e+00	-3.712834770565424658e-01
8.383854545454545004e+00	-3.668102355083120436e-01
8.484863636363636274e+00	-3.624434984559858353e-01
8.585872727272727545e+00	-3.581795069611364846e-01
8.686881818181818815e+00	-3.540146769176694685e-01
8.787890909090908309e+00	-3.499455890041022754e-01
8.888899999999999579e+00	-3.459689793209074216e-01
8.989909090909090850e+00	-3.420817306590394624e-01
9.090918181818182120e+00	-3.382808643505531565e-01
9.191927272727273390e+00	-3.345635326565380430e-01
9.292936363636362884e+00	-3.309270116514865800e-01
9.393945454545454155e+00	-3.273686945667301784e-01
9.494954545454545425e+00	-3.238860855587585297e-01
9.595963636363636695e+00	-3.204767938711139408e-01
9.696972727272726189e+00	-3.171385283611638517e-01
9.797981818181817459e+00	-3.138690923654199327e-01
9.898990909090908730e+00	-3.106663788792223269e-01
1.000000000000000000e+01	-3.075283660285613729e-01
