# Initial state, keV	Final state, keV	Conversion i %	alpha
9.405699999999999505e+00	0.000000000000000000e+00	1.000000000000000000e+00	1.708999999999999986e+01
4.155749999999999744e+01	9.405699999999999505e+00	1.000000000000000000e+00	2.035000000000000000e+03
5.619584999999999582e+02	4.155749999999999744e+01	7.379039101528198641e-01	2.870000000000000155e-03
5.619584999999999582e+02	9.405699999999999505e+00	2.619558881042510778e-01	0.000000000000000000e+00
5.619584999999999582e+02	0.000000000000000000e+00	1.402017429290357633e-04	0.000000000000000000e+00
5.711538000000000466e+02	4.155749999999999744e+01	1.000000000000000000e+00	1.940000000000000101e-03
6.901459999999999582e+02	5.711538000000000466e+02	1.197121528011298730e-01	2.800000000000000266e-01
6.901459999999999582e+02	5.619584999999999582e+02	3.295446902952451577e-03	2.200000000000000011e-01
6.901459999999999582e+02	4.155749999999999744e+01	6.725401842760104776e-01	1.510000000000000057e-03
6.901459999999999582e+02	9.405699999999999505e+00	2.044522160199071792e-01	0.000000000000000000e+00
7.994800000000000182e+02	9.405699999999999505e+00	7.347538574577516801e-01	0.000000000000000000e+00
7.994800000000000182e+02	0.000000000000000000e+00	2.652461425422483754e-01	0.000000000000000000e+00
1.011799999999999955e+03	9.405699999999999505e+00	4.942965779467680537e-02	0.000000000000000000e+00
1.011799999999999955e+03	0.000000000000000000e+00	9.505703422053232154e-01	0.000000000000000000e+00
1.102730000000000018e+03	9.405699999999999505e+00	9.157509157509157172e-01	0.000000000000000000e+00
1.102730000000000018e+03	0.000000000000000000e+00	8.424908424908424120e-02	0.000000000000000000e+00
1.170400000000000091e+03	6.901459999999999582e+02	1.358313817330210893e-01	2.660000000000000038e-03
1.170400000000000091e+03	5.619584999999999582e+02	7.962529274004684354e-02	1.440000000000000091e-03
1.170400000000000091e+03	9.405699999999999505e+00	2.341920374707260055e-01	0.000000000000000000e+00
1.170400000000000091e+03	0.000000000000000000e+00	1.615925058548009496e-01	0.000000000000000000e+00
1.170400000000000091e+03	5.711538000000000466e+02	2.341920374707260055e-01	0.000000000000000000e+00
1.170400000000000091e+03	9.405699999999999505e+00	1.545667447306791620e-01	0.000000000000000000e+00
1.277900000000000091e+03	5.711538000000000466e+02	1.000000000000000000e+00	0.000000000000000000e+00
1.517049999999999955e+03	7.994800000000000182e+02	5.847953216374268681e-01	0.000000000000000000e+00
1.517049999999999955e+03	0.000000000000000000e+00	4.152046783625730764e-01	0.000000000000000000e+00
1.529140000000000100e+03	6.901459999999999582e+02	9.952606635071090113e-02	0.000000000000000000e+00
1.529140000000000100e+03	5.619584999999999582e+02	4.739336492890995345e-01	0.000000000000000000e+00
1.529140000000000100e+03	9.405699999999999505e+00	2.274881516587677621e-01	0.000000000000000000e+00
1.529140000000000100e+03	0.000000000000000000e+00	1.990521327014218023e-01	0.000000000000000000e+00
1.533660000000000082e+03	6.901459999999999582e+02	6.896551724137931494e-01	0.000000000000000000e+00
1.533660000000000082e+03	5.619584999999999582e+02	3.103448275862069061e-01	0.000000000000000000e+00
1.642460000000000036e+03	1.011799999999999955e+03	3.378378378378378288e-01	0.000000000000000000e+00
1.642460000000000036e+03	9.405699999999999505e+00	3.243243243243243423e-01	0.000000000000000000e+00
1.642460000000000036e+03	0.000000000000000000e+00	3.378378378378378288e-01	0.000000000000000000e+00
1.721430000000000064e+03	1.122029999999999973e+03	1.836734693877551117e-01	0.000000000000000000e+00
1.721430000000000064e+03	1.102730000000000018e+03	1.496598639455782309e-01	0.000000000000000000e+00
1.721430000000000064e+03	1.011799999999999955e+03	3.401360544217686965e-01	1.039999999999999909e-03
1.721430000000000064e+03	0.000000000000000000e+00	3.265306122448979331e-01	0.000000000000000000e+00
1.738190000000000055e+03	1.122029999999999973e+03	1.409836065573770447e-01	1.360000000000000098e-03
1.738190000000000055e+03	1.102730000000000018e+03	1.770491803278688436e-01	1.449999999999999900e-03
1.738190000000000055e+03	9.405699999999999505e+00	3.278688524590163689e-01	0.000000000000000000e+00
1.738190000000000055e+03	0.000000000000000000e+00	3.540983606557376873e-01	0.000000000000000000e+00
2.265800000000000182e+03	1.738190000000000055e+03	8.013937282229964543e-02	2.749999999999999840e-03
2.265800000000000182e+03	1.721430000000000064e+03	2.229965156794425085e-01	1.799999999999999951e-03
2.265800000000000182e+03	1.122029999999999973e+03	6.968641114982578877e-01	0.000000000000000000e+00
2.271300000000000182e+03	1.102730000000000018e+03	1.000000000000000000e+00	0.000000000000000000e+00
2.290369999999999891e+03	1.738190000000000055e+03	1.000000000000000000e+00	0.000000000000000000e+00
2.338059999999999945e+03	1.170400000000000091e+03	8.695652173913043237e-01	0.000000000000000000e+00
2.338059999999999945e+03	1.102730000000000018e+03	1.304347826086956486e-01	0.000000000000000000e+00
2.478099999999999909e+03	1.122029999999999973e+03	7.042253521126760063e-01	0.000000000000000000e+00
2.478099999999999909e+03	1.011799999999999955e+03	2.957746478873239382e-01	0.000000000000000000e+00
2.510150000000000091e+03	2.338059999999999945e+03	6.756756756756756577e-01	0.000000000000000000e+00
2.510150000000000091e+03	2.271300000000000182e+03	1.824324324324324287e-01	0.000000000000000000e+00
2.510150000000000091e+03	1.738190000000000055e+03	1.418918918918918859e-01	0.000000000000000000e+00
2.550849999999999909e+03	2.265800000000000182e+03	3.402489626556016722e-01	0.000000000000000000e+00
2.550849999999999909e+03	1.721430000000000064e+03	2.448132780082987459e-01	0.000000000000000000e+00
2.550849999999999909e+03	1.122029999999999973e+03	4.149377593360996097e-01	0.000000000000000000e+00
2.640630000000000109e+03	2.510150000000000091e+03	4.625346901017575729e-01	0.000000000000000000e+00
2.640630000000000109e+03	2.290309999999999945e+03	3.006475485661424529e-01	0.000000000000000000e+00
2.640630000000000109e+03	2.265800000000000182e+03	1.082331174838112725e-01	0.000000000000000000e+00
2.640630000000000109e+03	1.721430000000000064e+03	6.382978723404254817e-02	0.000000000000000000e+00
2.640630000000000109e+03	1.122029999999999973e+03	6.475485661424607020e-02	0.000000000000000000e+00
2.733800000000000182e+03	1.122029999999999973e+03	1.000000000000000000e+00	0.000000000000000000e+00
2.841199999999999818e+03	2.640630000000000109e+03	8.467400508044030660e-01	0.000000000000000000e+00
2.841199999999999818e+03	2.470420000000000073e+03	1.532599491955969617e-01	0.000000000000000000e+00
2.985900000000000091e+03	1.122029999999999973e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.157510000000000218e+03	2.841199999999999818e+03	9.025270758122744263e-01	0.000000000000000000e+00
3.157510000000000218e+03	2.550849999999999909e+03	1.895306859205776392e-02	0.000000000000000000e+00
3.157510000000000218e+03	2.470420000000000073e+03	7.851985559566786177e-02	0.000000000000000000e+00
3.322000000000000000e+03	2.985900000000000091e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.367030000000000200e+03	2.470420000000000073e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.411539999999999964e+03	2.550849999999999909e+03	2.857142857142856984e-01	0.000000000000000000e+00
3.411539999999999964e+03	2.483840000000000146e+03	7.142857142857143016e-01	0.000000000000000000e+00
3.603059999999999945e+03	3.157510000000000218e+03	8.474576271186440302e-01	0.000000000000000000e+00
3.603059999999999945e+03	2.841199999999999818e+03	1.525423728813559421e-01	0.000000000000000000e+00
3.685800000000000182e+03	3.322000000000000000e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.804400000000000091e+03	3.322000000000000000e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.820699999999999818e+03	3.411539999999999964e+03	1.000000000000000000e+00	0.000000000000000000e+00
3.906400000000000091e+03	3.493199999999999818e+03	2.182741116751268917e-01	0.000000000000000000e+00
3.906400000000000091e+03	2.483840000000000146e+03	2.741116751269035423e-01	0.000000000000000000e+00
3.906400000000000091e+03	2.478099999999999909e+03	5.076142131979695105e-01	0.000000000000000000e+00
4.025699999999999818e+03	2.483840000000000146e+03	1.000000000000000000e+00	0.000000000000000000e+00
4.172300000000000182e+03	3.906400000000000091e+03	6.250000000000000000e-01	0.000000000000000000e+00
4.172300000000000182e+03	3.411539999999999964e+03	1.812499999999999944e-01	0.000000000000000000e+00
4.172300000000000182e+03	2.550849999999999909e+03	1.937500000000000056e-01	0.000000000000000000e+00
4.218399999999999636e+03	3.603059999999999945e+03	7.874015748031496509e-01	0.000000000000000000e+00
4.218399999999999636e+03	3.157510000000000218e+03	2.125984251968504046e-01	0.000000000000000000e+00
4.585199999999999818e+03	4.172300000000000182e+03	8.064516129032257563e-01	0.000000000000000000e+00
4.585199999999999818e+03	4.025699999999999818e+03	1.935483870967741882e-01	0.000000000000000000e+00
4.629800000000000182e+03	3.603059999999999945e+03	1.000000000000000000e+00	0.000000000000000000e+00
4.694600000000000364e+03	3.367030000000000200e+03	1.000000000000000000e+00	0.000000000000000000e+00
4.870000000000000000e+03	4.218399999999999636e+03	3.865030674846625658e-01	0.000000000000000000e+00
4.870000000000000000e+03	3.603059999999999945e+03	6.134969325153374342e-01	0.000000000000000000e+00
5.103300000000000182e+03	4.585199999999999818e+03	1.000000000000000000e+00	0.000000000000000000e+00
5.183899999999999636e+03	3.411539999999999964e+03	1.000000000000000000e+00	0.000000000000000000e+00
