Initial state, keV		Final state E_f, keV		Intensity i (%, ∑i_j = 1 )	alpha (conversion coefficient)
				
9.4057				0				100				17.09
41.5575				9.4057				100				2035
561.9585			41.5575				100				0.00287
561.9585			9.4057				35.5				0
561.9585			0				0.019				0				
571.1538			41.5575				100				0.00194
690.146				571.1538			17.8				0.28
690.146				561.9585			0.49				0.22
690.146				41.5575				100				0.00151
690.146				9.4057				30.4				0				
799.48				9.4057				100				0				
799.48				0				36.1				0
1011.8				9.4057				5.2				0
1011.8				0				100				0
1102.73				9.4057				100				0
1102.73				0				9.2				0
1170.4				690.146				58				0.00266
1170.4				561.9585			34				0.00144
1170.4				9.4057				100				0
1170.4				0				69				0
1170.4				571.1538			100				0
1170.4				9.4057				66				0
1277.9				571.1538			100				0
1517.05				799.48				100				0
1517.05				0				71				0
1529.14				690.146				21				0
1529.14				561.9585			100				0
1529.14				9.4057				48				0
1529.14				0				42				0
1533.66				690.146				100				0
1533.66				561.9585			45				0
1642.46				1011.8				100				0
1642.46				9.4057				96				0
1642.46				0				100				0
1721.43				1122.03				54				0
1721.43				1102.73				44				0
1721.43				1011.8				100				0.00104
1721.43				0				96				0
1738.19				1122.03				43				0.00136
1738.19				1102.73				54				0.00145
1738.19				9.4057				100				0
1738.19				0				108				0
2265.8				1738.19				11.5				0.00275
2265.8				1721.43				32				0.00180
2265.8				1122.03				100				0
2271.3				1102.73				100				0
2290.37				1738.19				100				0
2338.06				1170.4				100				0
2338.06				1102.73				15				0
2478.1				1122.03				100				0
2478.1				1011.8				42				0
2510.15				2338.06				100				0
2510.15				2271.3				27				0
2510.15				1738.19				21				0
2550.85				2265.8				82				0
2550.85				1721.43				59				0
2550.85				1122.03				100				0
2640.63				2510.15				100				0
2640.63				2290.31				65				0
2640.63				2265.8				23.4				0
2640.63				1721.43				13.8				0
2640.63				1122.03				14				0
2733.8				1122.03				100				0
2841.2				2640.63				100				0
2841.2				2470.42				18.1				0
2985.9				1122.03				100				0
3157.51				2841.2				100				0
3157.51				2550.85				2.1				0
3157.51				2470.42				8.7				0
3322				2985.9				100				0
3367.03				2470.42				100				0
3411.54				2550.85				40				0
3411.54				2483.84				100				0
3603.06				3157.51				100				0
3603.06				2841.2				18				0
3685.8				3322				100				0
3804.4				3322				100				0
3820.7				3411.54				100				0
3906.4				3493.2				43				0
3906.4				2483.84				54				0
3906.4				2478.1				100				0
4025.7				2483.84				100				0
4172.3				3906.4				100				0
4172.3				3411.54				29				0
4172.3				2550.85				31				0
4218.4				3603.06				100				0
4218.4				3157.51				27				0
4585.2				4172.3				100				0
4585.2				4025.7				24				0
4629.8				3603.06				100				0
4694.6				3367.03				100				0
4870				4218.4				63				0
4870				3603.06				100				0
5103.3				4585.2				100				0
5183.9				3411.54				100				0
5641.2				4870				100				0
5641.2				4218.4				97				0
5683.4				5103.3				100				0
5736				4694.6				100				0
5778.4				3820.7				100				0
6373.4				5683.4				100				0
